OBJECTID,DESCRIPTION,ID,MP13019A_B,MP13019A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1024,93660 (San Joaquin),93660,257,53,53,211182500.0,79387.00523061011,1756054002881,Synapse54,1756054002881,Synapse54
1025,93662 (Selma),93662,3610,92,92,295392500.0,102319.31275611027,1756054002881,Synapse54,1756054002881,Synapse54
1026,93664 (Shaver Lake),93664,124,106,106,3416110000.0,402850.3981318416,1756054002881,Synapse54,1756054002881,Synapse54
1027,93666 (Sultana),93666,16,42,42,1175000.0,5679.101523548845,1756054002881,Synapse54,1756054002881,Synapse54
1028,93667 (Tollhouse),93667,227,76,76,260238750.0,99824.99521879974,1756054002881,Synapse54,1756054002881,Synapse54
1029,93668 (Tranquillity),93668,222,139,139,298665000.0,77336.65577903809,1756054002881,Synapse54,1756054002881,Synapse54
1030,93669 (Wishon),93669,26,60,60,32571250.0,31906.53971225161,1756054002881,Synapse54,1756054002881,Synapse54
1031,93673 (Traver),93673,38,43,43,3367500.0,7464.752969534095,1756054002881,Synapse54,1756054002881,Synapse54
1032,93675 (Squaw Valley),93675,261,48,48,342188750.0,94881.63853411493,1756054002881,Synapse54,1756054002881,Synapse54
1033,93701 (Fresno),93701,720,54,54,6013750.0,13044.204902247335,1756054002881,Synapse54,1756054002881,Synapse54
1034,93702 (Fresno),93702,2675,51,51,20617500.0,19810.977222864647,1756054002881,Synapse54,1756054002881,Synapse54
1035,93703 (Fresno),93703,2446,58,58,19256250.0,19796.340206636665,1756054002881,Synapse54,1756054002881,Synapse54
1036,93704 (Fresno),93704,4122,107,107,22725000.0,27394.957292768333,1756054002881,Synapse54,1756054002881,Synapse54
1037,93705 (Fresno),93705,3317,67,67,20658750.0,22604.931437315237,1756054002881,Synapse54,1756054002881,Synapse54
1038,93706 (Fresno),93706,3159,65,65,625240000.0,147744.45313718307,1756054002881,Synapse54,1756054002881,Synapse54
1039,93710 (Fresno),93710,3838,93,93,26751250.0,22663.88319712392,1756054002881,Synapse54,1756054002881,Synapse54
1040,93711 (Fresno),93711,6444,121,121,44141250.0,39680.644761769676,1756054002881,Synapse54,1756054002881,Synapse54
1041,93720 (Fresno),93720,8530,127,127,38725000.0,46538.72812832119,1756054002881,Synapse54,1756054002881,Synapse54
1042,93721 (Fresno),93721,960,85,85,8232500.0,13990.311551903422,1756054002881,Synapse54,1756054002881,Synapse54
1043,93722 (Fresno),93722,10677,96,96,83898750.0,59924.23263983229,1756054002881,Synapse54,1756054002881,Synapse54
1044,93723 (Fresno),93723,2354,123,123,177646250.0,64126.278199687134,1756054002881,Synapse54,1756054002881,Synapse54
1045,93725 (Fresno),93725,2873,87,87,277566250.0,124031.10590059144,1756054002881,Synapse54,1756054002881,Synapse54
1046,93726 (Fresno),93726,3935,75,75,26246250.0,22867.355453385957,1756054002881,Synapse54,1756054002881,Synapse54
1047,93727 (Fresno),93727,11271,100,100,88011250.0,53426.058072057,1756054002881,Synapse54,1756054002881,Synapse54
1048,93728 (Fresno),93728,1673,77,77,11993750.0,15896.261442148048,1756054002881,Synapse54,1756054002881,Synapse54
1049,93730 (Fresno),93730,2754,149,149,37645000.0,45127.45236397823,1756054002881,Synapse54,1756054002881,Synapse54
1050,93737 (Fresno),93737,1906,176,176,45450000.0,40670.34082960182,1756054002881,Synapse54,1756054002881,Synapse54
1051,93741 (Fresno),93741,13,115,115,412500.0,2903.881599922042,1756054002881,Synapse54,1756054002881,Synapse54
1052,93901 (Salinas),93901,6609,169,169,49140000.0,44202.23022796285,1756054002881,Synapse54,1756054002881,Synapse54
1053,93905 (Salinas),93905,7961,102,102,32142500.0,31058.81272621997,1756054002881,Synapse54,1756054002881,Synapse54
1054,93906 (Salinas),93906,11686,135,135,68941250.0,39314.73827914687,1756054002881,Synapse54,1756054002881,Synapse54
1055,93907 (Salinas),93907,5730,183,183,213060000.0,95208.89915532664,1756054002881,Synapse54,1756054002881,Synapse54
1056,93908 (Salinas),93908,2845,153,153,1061271250.0,302917.94444091135,1756054002881,Synapse54,1756054002881,Synapse54
1057,93920 (Big Sur),93920,185,107,107,1101320654.7578125,342469.8830027015,1756054002881,Synapse54,1756054002881,Synapse54
1058,93923 (Carmel),93923,2952,127,127,669726845.2421875,209724.0345911836,1756054002881,Synapse54,1756054002881,Synapse54
1059,93924 (Carmel Valley),93924,1222,130,130,927553750.0,219800.1279712147,1756054002881,Synapse54,1756054002881,Synapse54
1060,93925 (Chualar),93925,199,128,128,74992500.0,74891.07518255114,1756054002881,Synapse54,1756054002881,Synapse54
1061,93926 (Gonzales),93926,1291,112,112,295818750.0,125126.24523326098,1756054002881,Synapse54,1756054002881,Synapse54
1062,93927 (Greenfield),93927,1688,70,70,915092500.0,247727.7081157261,1756054002881,Synapse54,1756054002881,Synapse54
1063,93930 (King City),93930,1828,93,93,1350167500.0,286166.4215509725,1756054002881,Synapse54,1756054002881,Synapse54
1064,93932 (Lockwood),93932,37,41,41,1229493750.0,277455.2861085267,1756054002881,Synapse54,1756054002881,Synapse54
1065,93933 (Marina),93933,7187,191,191,43766250.0,37944.583085366976,1756054002881,Synapse54,1756054002881,Synapse54
1066,93940 (Monterey),93940,6803,157,157,67190000.0,75229.52094805444,1756054002881,Synapse54,1756054002881,Synapse54
1067,93943 (Monterey),93943,5,96,96,896250.0,3882.1895857393374,1756054002881,Synapse54,1756054002881,Synapse54
1068,93944 (Monterey),93944,560,94,94,1872500.0,9120.464598803223,1756054002881,Synapse54,1756054002881,Synapse54
1069,93950 (Pacific Grove),93950,3614,168,168,11421250.0,20689.400965604545,1756054002881,Synapse54,1756054002881,Synapse54
1070,93953 (Pebble Beach),93953,886,126,126,33182756.0234375,35011.91867271964,1756054002881,Synapse54,1756054002881,Synapse54
1071,93954 (San Lucas),93954,18,42,42,1608750.0,6303.159342421929,1756054002881,Synapse54,1756054002881,Synapse54
1072,93955 (Seaside),93955,6957,165,165,44251250.0,30779.615935636364,1756054002881,Synapse54,1756054002881,Synapse54
1073,93960 (Soledad),93960,3375,96,96,860760000.0,206107.9640608755,1756054002881,Synapse54,1756054002881,Synapse54
1074,93962 (Spreckels),93962,92,134,134,327500.0,4035.4350888331,1756054002881,Synapse54,1756054002881,Synapse54
1075,94002 (Belmont),94002,8024,201,201,23703750.0,30109.176671586538,1756054002881,Synapse54,1756054002881,Synapse54
1076,94005 (Brisbane),94005,1487,214,214,21066250.0,27141.362297459076,1756054002881,Synapse54,1756054002881,Synapse54
1077,94010 (Burlingame),94010,12586,202,202,53221051.34375,56685.86978298898,1756054002881,Synapse54,1756054002881,Synapse54
1078,94014 (Daly City),94014,14814,203,203,24368750.0,33307.75524141085,1756054002881,Synapse54,1756054002881,Synapse54
1079,94015 (Daly City),94015,20289,216,216,23257500.0,28180.25530911395,1756054002881,Synapse54,1756054002881,Synapse54
1080,94018 (El Granada),94018,1052,182,182,2316250.0,10234.84735215739,1756054002881,Synapse54,1756054002881,Synapse54
1081,94019 (Half Moon Bay),94019,3828,178,178,296801250.0,160302.9934497114,1756054002881,Synapse54,1756054002881,Synapse54
1082,94020 (La Honda),94020,590,208,208,210580000.0,115046.08499024526,1756054002881,Synapse54,1756054002881,Synapse54
1083,94021 (Loma Mar),94021,81,228,228,73548750.0,55963.10438012008,1756054002881,Synapse54,1756054002881,Synapse54
1084,94022 (Los Altos),94022,5473,194,194,73266250.0,51477.47073025752,1756054002881,Synapse54,1756054002881,Synapse54
1085,94024 (Los Altos),94024,5927,191,191,32133750.0,39375.43530684825,1756054002881,Synapse54,1756054002881,Synapse54
1086,94025 (Menlo Park),94025,12070,200,200,47076250.0,83712.80217965899,1756054002881,Synapse54,1756054002881,Synapse54
1087,94027 (Atherton),94027,2012,192,192,21568750.0,32844.63233677018,1756054002881,Synapse54,1756054002881,Synapse54
1088,94028 (Portola Valley),94028,1869,192,192,60245000.0,49303.818106474595,1756054002881,Synapse54,1756054002881,Synapse54
1089,94030 (Millbrae),94030,7343,211,211,14377500.0,18858.27782766413,1756054002881,Synapse54,1756054002881,Synapse54
1090,94035 (Mountain View),94035,0,0,0,10913750.0,16135.886467911416,1756054002881,Synapse54,1756054002881,Synapse54
1091,94037 (Montara),94037,711,181,181,5005000.0,14022.374367842176,1756054002881,Synapse54,1756054002881,Synapse54
1092,94038 (Moss Beach),94038,823,185,185,25095000.0,49722.794025786105,1756054002881,Synapse54,1756054002881,Synapse54
1093,94040 (Mountain View),94040,10989,208,208,14735000.0,29280.56421573843,1756054002881,Synapse54,1756054002881,Synapse54
1094,94041 (Mountain View),94041,5071,217,217,6706250.0,13808.041128287383,1756054002881,Synapse54,1756054002881,Synapse54
1095,94043 (Mountain View),94043,9564,204,204,35978750.0,34349.638148005644,1756054002881,Synapse54,1756054002881,Synapse54
1096,94044 (Pacifica),94044,12156,218,218,58672500.0,47849.70567553488,1756054002881,Synapse54,1756054002881,Synapse54
1097,94060 (Pescadero),94060,397,214,214,248597500.0,105789.30875202788,1756054002881,Synapse54,1756054002881,Synapse54
1098,94061 (Redwood City),94061,9702,188,188,15681250.0,24519.754736224084,1756054002881,Synapse54,1756054002881,Synapse54
1099,94062 (Redwood City),94062,7592,197,197,308115000.0,175191.45735038305,1756054002881,Synapse54,1756054002881,Synapse54
1100,94063 (Redwood City),94063,8639,159,159,51357500.0,49323.73425539225,1756054002881,Synapse54,1756054002881,Synapse54
1101,94065 (Redwood City),94065,3524,193,193,11663750.0,17874.570817614564,1756054002881,Synapse54,1756054002881,Synapse54
1102,94066 (San Bruno),94066,13227,206,206,28792500.0,33825.35564068982,1756054002881,Synapse54,1756054002881,Synapse54
1103,94070 (San Carlos),94070,8626,199,199,28700454.546875,33964.9565901139,1756054002881,Synapse54,1756054002881,Synapse54
1104,94074 (San Gregorio),94074,99,220,220,84051250.0,73324.88938401452,1756054002881,Synapse54,1756054002881,Synapse54
1105,94080 (South San Francisco),94080,20616,210,210,43542472.453125,45821.07512197004,1756054002881,Synapse54,1756054002881,Synapse54
1106,94085 (Sunnyvale),94085,7658,212,212,13462500.0,16872.40094271595,1756054002881,Synapse54,1756054002881,Synapse54
1107,94086 (Sunnyvale),94086,16495,213,213,18920000.0,24590.684571550875,1756054002881,Synapse54,1756054002881,Synapse54
1108,94087 (Sunnyvale),94087,14677,201,201,26655000.0,29338.74760719559,1756054002881,Synapse54,1756054002881,Synapse54
1109,94089 (Sunnyvale),94089,5961,174,174,50107500.0,35194.0217635696,1756054002881,Synapse54,1756054002881,Synapse54
1110,94102 (San Francisco),94102,9989,153,153,2753750.0,9012.455661605447,1756054002881,Synapse54,1756054002881,Synapse54
1111,94103 (San Francisco),94103,11535,184,184,5395000.0,13297.338539753737,1756054002881,Synapse54,1756054002881,Synapse54
1112,94104 (San Francisco),94104,67,127,127,301250.0,2750.3590357178527,1756054002881,Synapse54,1756054002881,Synapse54
1113,94105 (San Francisco),94105,4666,188,188,1431250.0,6498.4620152758835,1756054002881,Synapse54,1756054002881,Synapse54
1114,94107 (San Francisco),94107,10925,203,203,7607500.0,23911.065826707396,1756054002881,Synapse54,1756054002881,Synapse54
1115,94108 (San Francisco),94108,3728,181,181,1147500.0,5269.0158915845595,1756054002881,Synapse54,1756054002881,Synapse54
