OBJECTID,DESCRIPTION,ID,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
765,92109 (San Diego),92109,8463,19.28,19.28,27806546.32421875,87091.05516929962,1756054193073,Synapse54,1756054193073,Synapse54
766,92110 (San Diego),92110,8830,28.97,28.97,18492500.0,35509.166249758426,1756054193073,Synapse54,1756054193073,Synapse54
767,92111 (San Diego),92111,10051,21.54,21.54,36671136.3671875,39976.35111913949,1756054193073,Synapse54,1756054193073,Synapse54
768,92113 (San Diego),92113,13682,29.62,29.62,16136250.0,26345.856708401625,1756054193073,Synapse54,1756054193073,Synapse54
769,92114 (San Diego),92114,15381,23.8,23.8,30587500.0,30798.863672713847,1756054193073,Synapse54,1756054193073,Synapse54
770,92115 (San Diego),92115,21608,34.59,34.59,22681250.0,33254.94500453067,1756054193073,Synapse54,1756054193073,Synapse54
771,92116 (San Diego),92116,4808,15.48,15.48,12396250.0,19553.345036492923,1756054193073,Synapse54,1756054193073,Synapse54
772,92117 (San Diego),92117,8921,17.95,17.95,32085000.0,29129.845717873457,1756054193073,Synapse54,1756054193073,Synapse54
773,92118 (Coronado),92118,5456,28.9,28.9,15557500.0,52704.40876973735,1756054193073,Synapse54,1756054193073,Synapse54
774,92119 (San Diego),92119,4705,19.92,19.92,22577500.0,24696.36141588736,1756054193073,Synapse54,1756054193073,Synapse54
775,92120 (San Diego),92120,5911,19.93,19.93,23672500.0,26212.37973772826,1756054193073,Synapse54,1756054193073,Synapse54
776,92121 (San Diego),92121,1248,28.2,28.2,47117500.0,44525.543995451764,1756054193073,Synapse54,1756054193073,Synapse54
777,92122 (San Diego),92122,13235,28.88,28.88,22580000.0,22292.10882187187,1756054193073,Synapse54,1756054193073,Synapse54
778,92123 (San Diego),92123,6095,19.94,19.94,29283750.0,28549.865521880685,1756054193073,Synapse54,1756054193073,Synapse54
779,92124 (San Diego),92124,6426,21.58,21.58,30825000.0,29218.585442232834,1756054193073,Synapse54,1756054193073,Synapse54
780,92126 (San Diego),92126,15644,20.55,20.55,38500000.0,30231.442913755007,1756054193073,Synapse54,1756054193073,Synapse54
