OBJECTID,DESCRIPTION,ID,MP12207A_B,MP12207A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1354,95133 (San Jose),95133,1224,86,86,13571250.0,17394.838172552743,1756053984730,Synapse54,1756053984730,Synapse54
1355,95134 (San Jose),95134,1802,121,121,39316684.78515625,44354.15656216554,1756053984730,Synapse54,1756053984730,Synapse54
1356,95135 (San Jose),95135,614,60,60,112345000.0,62500.649334803835,1756053984730,Synapse54,1756053984730,Synapse54
1357,95136 (San Jose),95136,2206,100,100,22876250.0,22947.71339278342,1756053984730,Synapse54,1756053984730,Synapse54
1358,95138 (San Jose),95138,717,79,79,104340000.0,54167.752777391936,1756053984730,Synapse54,1756053984730,Synapse54
1359,95139 (San Jose),95139,253,78,78,6157500.0,11609.33834109965,1756053984730,Synapse54,1756053984730,Synapse54
1360,95140 (Mount Hamilton),95140,15,74,74,385012500.0,144024.0372222452,1756053984730,Synapse54,1756053984730,Synapse54
1361,95141 (San Jose),95141,0,0,0,9558750.0,21651.18385344627,1756053984730,Synapse54,1756053984730,Synapse54
1362,95148 (San Jose),95148,1751,79,79,39106250.0,34862.34605685689,1756053984730,Synapse54,1756053984730,Synapse54
1363,95192 (San Jose),95192,229,112,112,512500.0,3030.253813771197,1756053984730,Synapse54,1756053984730,Synapse54
1364,95202 (Stockton),95202,546,172,172,4255000.0,8913.662075690927,1756053984730,Synapse54,1756053984730,Synapse54
1365,95203 (Stockton),95203,1058,130,130,28646250.0,34057.56172593515,1756053984730,Synapse54,1756053984730,Synapse54
1366,95204 (Stockton),95204,1657,116,116,21976833.99609375,29888.61851330108,1756053984730,Synapse54,1756053984730,Synapse54
1367,95205 (Stockton),95205,2456,144,144,37530000.0,34217.76065991982,1756053984730,Synapse54,1756053984730,Synapse54
1368,95206 (Stockton),95206,4644,149,149,734809791.6640625,248137.98434590595,1756053984730,Synapse54,1756053984730,Synapse54
1369,95207 (Stockton),95207,2711,116,116,31313750.0,24149.15851043405,1756053984730,Synapse54,1756053984730,Synapse54
1370,95209 (Stockton),95209,2425,119,119,33866250.0,34138.59269281178,1756053984730,Synapse54,1756053984730,Synapse54
1371,95210 (Stockton),95210,2776,150,150,28675000.0,34284.103498411685,1756053984730,Synapse54,1756053984730,Synapse54
1372,95211 (Stockton),95211,48,53,53,821250.0,4418.530618931081,1756053984730,Synapse54,1756053984730,Synapse54
1373,95212 (Stockton),95212,1783,120,120,90448750.0,51484.074926384084,1756053984730,Synapse54,1756053984730,Synapse54
1374,95215 (Stockton),95215,1682,136,136,394343750.0,113469.29681494826,1756053984730,Synapse54,1756053984730,Synapse54
1375,95219 (Stockton),95219,1328,89,89,277236250.0,182816.9915483551,1756053984730,Synapse54,1756053984730,Synapse54
1376,95220 (Acampo),95220,278,78,78,257007500.0,125444.093785129,1756053984730,Synapse54,1756053984730,Synapse54
1377,95222 (Angels Camp),95222,191,70,70,439586250.0,151238.3470710792,1756053984730,Synapse54,1756053984730,Synapse54
1378,95223 (Arnold),95223,108,47,47,853351250.0,277447.9361861314,1756053984730,Synapse54,1756053984730,Synapse54
1379,95224 (Avery),95224,11,35,35,19107500.0,26708.56744139366,1756053984730,Synapse54,1756053984730,Synapse54
1380,95225 (Burson),95225,4,57,57,6628750.0,18964.682887773113,1756053984730,Synapse54,1756053984730,Synapse54
1381,95226 (Campo Seco),95226,1,44,44,16348750.0,19728.241185797342,1756053984730,Synapse54,1756053984730,Synapse54
1382,95227 (Clements),95227,26,77,77,103798333.3359375,50927.524958569375,1756053984730,Synapse54,1756053984730,Synapse54
1383,95228 (Copperopolis),95228,174,71,71,465777500.0,126196.59360307425,1756053984730,Synapse54,1756053984730,Synapse54
1384,95230 (Farmington),95230,39,82,82,656140000.0,215747.76218042924,1756053984730,Synapse54,1756053984730,Synapse54
1385,95231 (French Camp),95231,348,159,159,42300000.0,38367.89329745178,1756053984730,Synapse54,1756053984730,Synapse54
1386,95232 (Glencoe),95232,4,33,33,32890000.0,28342.56983822349,1756053984730,Synapse54,1756053984730,Synapse54
1387,95236 (Linden),95236,175,82,82,590932500.0,144708.63725009075,1756053984730,Synapse54,1756053984730,Synapse54
1388,95237 (Lockeford),95237,136,82,82,52995000.0,41768.952843328,1756053984730,Synapse54,1756053984730,Synapse54
1389,95240 (Lodi),95240,2715,122,122,271761250.0,128959.37054992387,1756053984730,Synapse54,1756053984730,Synapse54
1390,95242 (Lodi),95242,1157,82,82,514770000.0,142745.20125357455,1756053984730,Synapse54,1756053984730,Synapse54
1391,95245 (Mokelumne Hill),95245,62,57,57,246516250.0,167886.17149936143,1756053984730,Synapse54,1756053984730,Synapse54
1392,95246 (Mountain Ranch),95246,40,62,62,300911250.0,155346.26961381503,1756053984730,Synapse54,1756053984730,Synapse54
1393,95247 (Murphys),95247,95,46,46,210115000.0,128602.13543414144,1756053984730,Synapse54,1756053984730,Synapse54
1394,95248 (Rail Road Flat),95248,12,54,54,268796250.0,126163.14732399884,1756053984730,Synapse54,1756053984730,Synapse54
1395,95249 (San Andreas),95249,143,71,71,295737500.0,144638.64099846437,1756053984730,Synapse54,1756053984730,Synapse54
1396,95251 (Vallecito),95251,20,57,57,24000000.0,32640.03056594418,1756053984730,Synapse54,1756053984730,Synapse54
1397,95252 (Valley Springs),95252,538,72,72,745868750.0,213538.66277509974,1756053984730,Synapse54,1756053984730,Synapse54
1398,95253 (Victor),95253,2,80,80,150000.0,1800.0,1756053984730,Synapse54,1756053984730,Synapse54
1399,95254 (Wallace),95254,13,61,61,16048750.0,25781.140095725037,1756053984730,Synapse54,1756053984730,Synapse54
1400,95255 (West Point),95255,60,61,61,452668750.0,197470.13847006203,1756053984730,Synapse54,1756053984730,Synapse54
