OBJECTID,DESCRIPTION,ID,TOTPOP_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
216,91205 (Glendale),91205,34078,34078,7162500.0,12351.646530060581,1756054349282,Synapse54,1756054349282,Synapse54
217,91206 (Glendale),91206,32190,32190,21963750.0,30191.815035665397,1756054349282,Synapse54,1756054349282,Synapse54
218,91207 (Glendale),91207,9805,9805,17903750.0,26362.939478570523,1756054349282,Synapse54,1756054349282,Synapse54
219,91208 (Glendale),91208,15335,15335,29457500.0,33179.87380612861,1756054349282,Synapse54,1756054349282,Synapse54
220,91210 (Glendale),91210,416,416,162500.0,2106.6282042091552,1756054349282,Synapse54,1756054349282,Synapse54
221,91214 (La Crescenta),91214,28398,28398,20600000.0,21602.910059350183,1756054349282,Synapse54,1756054349282,Synapse54
222,91301 (Agoura Hills),91301,23354,23354,134412500.0,67038.39809373491,1756054349282,Synapse54,1756054349282,Synapse54
223,91302 (Calabasas),91302,23878,23878,98223750.0,71037.94471013643,1756054349282,Synapse54,1756054349282,Synapse54
224,91303 (Canoga Park),91303,30818,30818,8228750.0,11529.8145805243,1756054349282,Synapse54,1756054349282,Synapse54
225,91304 (Canoga Park),91304,48346,48346,35137500.0,39071.17650268151,1756054349282,Synapse54,1756054349282,Synapse54
226,91306 (Winnetka),91306,47146,47146,16672500.0,19171.931116842465,1756054349282,Synapse54,1756054349282,Synapse54
227,91307 (West Hills),91307,23215,23215,89981250.0,61095.31117355745,1756054349282,Synapse54,1756054349282,Synapse54
228,91311 (Chatsworth),91311,40209,40209,126621250.0,72692.26782111324,1756054349282,Synapse54,1756054349282,Synapse54
229,91316 (Encino),91316,27014,27014,16321250.0,20778.30107249837,1756054349282,Synapse54,1756054349282,Synapse54
230,91320 (Newbury Park),91320,42749,42749,151116250.0,83662.85794782422,1756054349282,Synapse54,1756054349282,Synapse54
231,91321 (Newhall),91321,31561,31561,117951250.0,78749.49731418141,1756054349282,Synapse54,1756054349282,Synapse54
232,91324 (Northridge),91324,27800,27800,15433750.0,18243.407608138714,1756054349282,Synapse54,1756054349282,Synapse54
233,91325 (Northridge),91325,33623,33623,18520000.0,27408.192773400664,1756054349282,Synapse54,1756054349282,Synapse54
234,91326 (Porter Ranch),91326,39205,39205,30312500.0,28236.381070619223,1756054349282,Synapse54,1756054349282,Synapse54
235,91330 (Northridge),91330,2085,2085,1561250.0,6606.816717918054,1756054349282,Synapse54,1756054349282,Synapse54
236,91331 (Pacoima),91331,94090,94090,35346250.0,29116.443816654253,1756054349282,Synapse54,1756054349282,Synapse54
237,91335 (Reseda),91335,75178,75178,25253750.0,20158.768792001392,1756054349282,Synapse54,1756054349282,Synapse54
238,91340 (San Fernando),91340,33569,33569,13600000.0,17981.932136218,1756054349282,Synapse54,1756054349282,Synapse54
239,91342 (Sylmar),91342,90343,90343,321723750.0,153883.941540724,1756054349282,Synapse54,1756054349282,Synapse54
