OBJECTID,name,address,locality,region,postcode,country,fsq_category,fsq_category_all,INDUSTRY_DESC,source,esri_pid,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
165,H&R Block,1625 Rock Springs Rd,Apopka,FL,32712,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,a2fe457e8a8f6cd57543e1cd99a9dbe0,"H&R Block, 1625 Rock Springs Rd, Apopka, FL",28.708543015729877,-81.5077088526195,1754588154609,Synapse54,1754588154609,Synapse54
166,H&R Block,9394 Arlington Expy,Jacksonville,FL,32225,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,728d603b745a9c1b81b61f2b7fa74d11,"H&R Block, 9394 Arlington Expy, Jacksonville, FL",30.321216742697032,-81.55469801743445,1754588154609,Synapse54,1754588154609,Synapse54
167,H&R Block,2849 Garden St,Titusville,FL,32796,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,11bf25866bf7cf7cb84abcd583eae76c,"H&R Block, 2849 Garden St, Titusville, FL",28.61454372693923,-80.83873942534919,1754588154609,Synapse54,1754588154609,Synapse54
168,H&R Block,17966 N Tamiami Trl,Fort Myers,FL,33903,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,6b822f038e2ea0a717465b0cc7744b61,"H&R Block, 17966 N Tamiami Trl, Fort Myers, FL",26.72493653268233,-81.90423606169531,1754588154609,Synapse54,1754588154609,Synapse54
169,H&R Block,4036 N Armenia Ave,Tampa,FL,33607,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,4caf4da0385c5575abf49e773a6ac9f6,"H&R Block, 4036 N Armenia Ave, Tampa, FL",27.97501786473229,-82.48636368138003,1754588154609,Synapse54,1754588154609,Synapse54
170,H&R Block,5822 S Jog Rd,Lake Worth,FL,33467,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,be78824b42cd51b06852828bc465ef7d,"H&R Block, 5822 S Jog Rd, Lake Worth, FL",26.592206808197286,-80.14473088965195,1754588154609,Synapse54,1754588154609,Synapse54
171,H&R Block,1807 Reid St,Palatka,FL,32177,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,24b89168a18b6e4f4eb46eed469596d4,"H&R Block, 1807 Reid St, Palatka, FL",29.649310037121406,-81.64802405159043,1754588154609,Synapse54,1754588154609,Synapse54
172,H&R Block,41 W Silver Star Rd,Ocoee,FL,34761,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,6b301430fb7c20864bdad01bc94bf10f,"H&R Block, 41 W Silver Star Rd, Ocoee, FL",28.57340326763333,-81.54596887581626,1754588154609,Synapse54,1754588154609,Synapse54
173,H&R Block,2216 James L Redman Pkwy,Plant City,FL,33563,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,31b2e81041b4a80ef956748f126fb84f,"H&R Block, 2216 James L Redman Pkwy, Plant City, FL",27.990238044960346,-82.12001354620259,1754588154609,Synapse54,1754588154609,Synapse54
174,H&R Block,8650 Old Kings Rd Ste 6,Jacksonville,FL,32217,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,7c6547a0cc26f6ff9aa93f5347e35d91,"H&R Block, 8650 Old Kings Rd Ste 6, Jacksonville, FL",30.22237201582633,-81.59334986330023,1754588154609,Synapse54,1754588154609,Synapse54
