OBJECTID,DESCRIPTION,ID,MP10116A_B,MP10116A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
130,32008 (Branford),32008,908,19.28,19.28,522930000.0,186304.20316408772,1754588058897,Synapse54,1754588058897,Synapse54
131,32009 (Bryceville),32009,541,20.6,20.6,313680000.0,95473.99688899332,1754588058897,Synapse54,1754588058897,Synapse54
132,32011 (Callahan),32011,2670,21.0,21.0,556265000.0,171650.58419921156,1754588058897,Synapse54,1754588058897,Synapse54
133,32013 (Day),32013,12,18.18,18.18,125421250.0,55197.04434867525,1754588058897,Synapse54,1754588058897,Synapse54
134,32024 (Lake City),32024,3283,19.85,19.85,510122500.0,184277.73147947292,1754588058897,Synapse54,1754588058897,Synapse54
135,32025 (Lake City),32025,3695,20.08,20.08,383261250.0,139091.62815710856,1754588058897,Synapse54,1754588058897,Synapse54
136,32033 (Elkton),32033,635,16.01,16.01,267420000.0,73716.57624283149,1754588058897,Synapse54,1754588058897,Synapse54
137,32034 (Fernandina Beach),32034,4645,12.91,12.91,233356298.55664062,347509.9837097279,1754588058897,Synapse54,1754588058897,Synapse54
138,32038 (Fort White),32038,1722,19.96,19.96,360995000.0,112474.40795634776,1754588058897,Synapse54,1754588058897,Synapse54
139,32040 (Glen Saint Mary),32040,1363,21.18,21.18,494602500.0,188447.30167305854,1754588058897,Synapse54,1754588058897,Synapse54
140,32043 (Green Cove Springs),32043,5885,18.98,18.98,718230468.75,155245.99029568757,1754588058897,Synapse54,1754588058897,Synapse54
141,32044 (Hampton),32044,326,18.78,18.78,84555000.0,66890.66062744909,1754588058897,Synapse54,1754588058897,Synapse54
142,32046 (Hilliard),32046,1655,21.36,21.36,714517500.0,198482.3728130147,1754588058897,Synapse54,1754588058897,Synapse54
143,32052 (Jasper),32052,1326,21.34,21.34,1231902500.0,255649.4209108768,1754588058897,Synapse54,1754588058897,Synapse54
144,32053 (Jennings),32053,670,21.7,21.7,386407500.0,107393.87196043173,1754588058897,Synapse54,1754588058897,Synapse54
145,32054 (Lake Butler),32054,2112,20.49,20.49,755430000.0,150472.74601522883,1754588058897,Synapse54,1754588058897,Synapse54
146,32055 (Lake City),32055,2751,20.59,20.59,1376896250.0,237313.42834078602,1754588058897,Synapse54,1754588058897,Synapse54
147,32058 (Lawtey),32058,721,18.71,18.71,230955000.0,82045.84721019934,1754588058897,Synapse54,1754588058897,Synapse54
148,32059 (Lee),32059,419,19.99,19.99,412461250.0,132215.909278295,1754588058897,Synapse54,1754588058897,Synapse54
149,33308 (Fort Lauderdale),33308,4297,15.84,15.84,15811250.0,19390.05511158474,1754588058897,Synapse54,1754588058897,Synapse54
150,32060 (Live Oak),32060,3488,19.06,19.06,1377501250.0,271301.34176782134,1754588058897,Synapse54,1754588058897,Synapse54
151,32061 (Lulu),32061,60,20.41,20.41,44868750.0,53174.76578796011,1754588058897,Synapse54,1754588058897,Synapse54
152,32062 (Mc Alpin),32062,461,19.16,19.16,249885000.0,129372.06317449646,1754588058897,Synapse54,1754588058897,Synapse54
153,32063 (Macclenny),32063,2310,20.19,20.19,265378750.0,98574.70592909807,1754588058897,Synapse54,1754588058897,Synapse54
154,32064 (Live Oak),32064,1197,20.52,20.52,30410000.0,38646.434095186465,1754588058897,Synapse54,1754588058897,Synapse54
155,32065 (Orange Park),32065,6577,20.38,20.38,65606250.0,57080.76401930857,1754588058897,Synapse54,1754588058897,Synapse54
156,32066 (Mayo),32066,1033,19.43,19.43,1534735000.0,227334.19230538307,1754588058897,Synapse54,1754588058897,Synapse54
157,32068 (Middleburg),32068,9728,20.22,20.22,390277500.0,138127.69182408194,1754588058897,Synapse54,1754588058897,Synapse54
158,32071 (O Brien),32071,642,19.42,19.42,317102500.0,134074.62014474577,1754588058897,Synapse54,1754588058897,Synapse54
159,32073 (Orange Park),32073,6991,20.05,20.05,57490000.0,46305.64432710374,1754588058897,Synapse54,1754588058897,Synapse54
160,32080 (Saint Augustine),32080,2376,11.9,11.9,50928948.958984375,148271.8299791149,1754588058897,Synapse54,1754588058897,Synapse54
161,32081 (Ponte Vedra),32081,3497,14.44,14.44,126176250.0,58725.47465648841,1754588058897,Synapse54,1754588058897,Synapse54
162,32082 (Ponte Vedra Beach),32082,3866,14.1,14.1,148404350.19921875,170176.92969934983,1754588058897,Synapse54,1754588058897,Synapse54
163,32083 (Raiford),32083,589,20.78,20.78,139503750.0,63506.07878696885,1754588058897,Synapse54,1754588058897,Synapse54
164,32084 (Saint Augustine),32084,6415,18.69,18.69,131803547.31054688,123562.98574353755,1754588058897,Synapse54,1754588058897,Synapse54
