OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
59,Isis Theatre,N Monticello St,Denham,Indiana,IN,46996,1334,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,1500 - 2499,1500.0,2499.0,2,76000.0,Data Axle,8b9515a2f0f9704eee649c23939582e3,"Isis Theatre, Denham, Indiana",41.05219499999999,-86.60302500000002,1758493572227,Synapse54,1758493572227,Synapse54
60,Kan Kan Cinema,Windsor St,Indianapolis,Indiana,IN,46201,1168,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,20000 - 39999,20000.0,39999.0,12,,Data Axle,57083fc95cc211dfe54d5409917c3582,"Kan Kan Cinema, Indianapolis, Indiana",39.78475199999999,-86.12957500000002,1758493572227,Synapse54,1758493572227,Synapse54
61,Keystone Art Cinema-Landmark Theatres,Keystone Xing,Indianapolis,Indiana,IN,46240,7771,51213101,51213101,783201,783201,Theatres-Movie,,,Landmark Theatres,High,Information,Branch,40000 - 99999,40000.0,99999.0,14,1142000.0,Data Axle,5b150a252b294f7d81d428dd354e4262,"Keystone Art Cinema-Landmark Theatres, Indianapolis, Indiana",39.914540999999986,-86.11103200000001,1758493572227,Synapse54,1758493572227,Synapse54
62,KJB Theaters,N 17 Th St,Terre Haute,Indiana,IN,47804,1408,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,,,,66,3349000.0,Data Axle,f2a9e68c3a3704f2190f377b5275af5a,"KJB Theaters, Terre Haute, Indiana",39.505566999999985,-87.38945800000002,1758493572227,Synapse54,1758493572227,Synapse54
63,Lake Shore Drive-in Theater,Rickey Rd,Monticello,Indiana,IN,47960,1537,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,5,142000.0,Data Axle,4142eddb5ce362bb9914cfa021fca671,"Lake Shore Drive-in Theater, Monticello, Indiana",40.768197,-86.77182200000001,1758493572227,Synapse54,1758493572227,Synapse54
64,Lebanon 7-GQT Movies,N Lebanon St,Lebanon,Indiana,IN,46052,1514,51213101,51213101,783201,783201,Theatres-Movie,,,"Goodrich Theater OpCo, LLC",High,Information,Branch,40000 - 99999,40000.0,99999.0,15,745000.0,Data Axle,e2fb45874731dcfe47d9833946b29abb,"Lebanon 7-GQT Movies, Lebanon, Indiana",40.06089799999998,-86.47230999999998,1758493572227,Synapse54,1758493572227,Synapse54
65,Legacy Cinema,W Main St,Greenfield,Indiana,IN,46140,2720,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,20000 - 39999,20000.0,39999.0,16,720000.0,Data Axle,fa4b1607d61b6b136ebfe78165c0114b,"Legacy Cinema, Greenfield, Indiana",39.782053,-85.806548,1758493572227,Synapse54,1758493572227,Synapse54
66,Lincoln Amphitheater,N Cr 300 E,Lincoln City,Indiana,IN,47552,,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,,,,24,1433000.0,Data Axle,177dc277596ef1161648c1fd4fa7e2e9,"Lincoln Amphitheater, Lincoln City, Indiana",38.101611,-87.004004,1758493572227,Synapse54,1758493572227,Synapse54
67,Linton Cinema Three,A St NE,Linton,Indiana,IN,47441,1614,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,40000 - 99999,40000.0,99999.0,9,352000.0,Data Axle,33d5ed31e9d42db73e64b0d7f4a8dd1e,"Linton Cinema Three, Linton, Indiana",39.03984499999999,-87.144257,1758493572227,Synapse54,1758493572227,Synapse54
68,Linway Cinema,W Lincoln Ave,Goshen,Indiana,IN,46526,2414,51213101,51213101,783201,783201,Theatres-Movie,,,,Medium,Information,Independent,10000 - 19999,10000.0,19999.0,9,,Data Axle,f45c826cc0d2730514cc6b15ad306c54,"Linway Cinema, Goshen, Indiana",41.586320000000015,-85.843005,1758493572227,Synapse54,1758493572227,Synapse54
