OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK2,TPOPK2_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
77,54475 (Rudolph),Wood County,Wisconsin,862751277ffffff,0,0.0,0.0,74338749.99609375,32108.95963819778,1758491864931,Synapse54,1758491864931,Synapse54
78,54410 (Arpin),Wood County,Wisconsin,862751287ffffff,0,0.0,0.0,74164999.9921875,32072.641277607254,1758491864931,Synapse54,1758491864931,Synapse54
79,54489 (Vesper),Wood County,Wisconsin,86275128fffffff,0,0.0,0.0,74215000.00390625,32083.831011565344,1758491864931,Synapse54,1758491864931,Synapse54
80,54449 (Marshfield),Wood County,Wisconsin,862751297ffffff,0,0.0,0.0,74271250.0,32094.87707175283,1758491864931,Synapse54,1758491864931,Synapse54
81,54466 (Pittsville),Wood County,Wisconsin,86275129fffffff,0,0.0,0.0,74428749.99609375,32127.89709282737,1758491864931,Synapse54,1758491864931,Synapse54
82,54410 (Arpin),Wood County,Wisconsin,8627512a7ffffff,0,0.0,0.0,74865000.0,32221.11064945704,1758491864931,Synapse54,1758491864931,Synapse54
83,54410 (Arpin),Wood County,Wisconsin,8627512afffffff,0,0.0,0.0,74186250.0,32076.754500096304,1758491864931,Synapse54,1758491864931,Synapse54
84,54449 (Marshfield),Wood County,Wisconsin,8627512b7ffffff,0,0.0,0.0,74636250.0078125,32172.447259897686,1758491864931,Synapse54,1758491864931,Synapse54
85,54495 (Wisconsin Rapids),Wood County,Wisconsin,8627512c7ffffff,83,17.18,17.18,73980000.0,32032.174744025888,1758491864931,Synapse54,1758491864931,Synapse54
86,54495 (Wisconsin Rapids),Wood County,Wisconsin,8627512cfffffff,0,0.0,0.0,74001249.99609375,32034.299278623217,1758491864931,Synapse54,1758491864931,Synapse54
87,54489 (Vesper),Wood County,Wisconsin,8627512d7ffffff,0,0.0,0.0,73874999.99609375,32013.628122945483,1758491864931,Synapse54,1758491864931,Synapse54
88,54495 (Wisconsin Rapids),Wood County,Wisconsin,8627512dfffffff,0,0.0,0.0,73691250.00390625,31970.99864554537,1758491864931,Synapse54,1758491864931,Synapse54
89,54495 (Wisconsin Rapids),Wood County,Wisconsin,8627512e7ffffff,51,12.35,12.35,74131249.99609375,32063.728116366754,1758491864931,Synapse54,1758491864931,Synapse54
90,54495 (Wisconsin Rapids),Wood County,Wisconsin,8627512efffffff,2100,18.29,18.29,73924999.99609375,32019.148360296338,1758491864931,Synapse54,1758491864931,Synapse54
91,54489 (Vesper),Wood County,Wisconsin,8627512f7ffffff,0,0.0,0.0,74657500.0,32176.560482386725,1758491864931,Synapse54,1758491864931,Synapse54
92,54455 (Mosinee),Marathon County,Wisconsin,862751307ffffff,0,0.0,0.0,75127499.99609375,32277.104439230287,1758491864931,Synapse54,1758491864931,Synapse54
93,54443 (Junction City),Portage County,Wisconsin,86275130fffffff,0,0.0,0.0,74865000.0,32221.11064945704,1758491864931,Synapse54,1758491864931,Synapse54
94,54455 (Mosinee),Marathon County,Wisconsin,862751317ffffff,0,0.0,0.0,74865000.0,32221.11064945704,1758491864931,Synapse54,1758491864931,Synapse54
95,54454 (Milladore),Wood County,Wisconsin,86275131fffffff,0,0.0,0.0,75127500.0,32277.104439230287,1758491864931,Synapse54,1758491864931,Synapse54
96,54455 (Mosinee),Marathon County,Wisconsin,862751327ffffff,0,0.0,0.0,75336250.0,32322.059164707025,1758491864931,Synapse54,1758491864931,Synapse54
97,54455 (Mosinee),Marathon County,Wisconsin,862751337ffffff,0,0.0,0.0,75232500.0078125,32298.997843548394,1758491864931,Synapse54,1758491864931,Synapse54
98,54412 (Auburndale),Wood County,Wisconsin,862751387ffffff,0,0.0,0.0,74864999.99609375,32221.11064945704,1758491864931,Synapse54,1758491864931,Synapse54
99,54412 (Auburndale),Wood County,Wisconsin,86275138fffffff,0,0.0,0.0,74636250.00390625,32172.447259897686,1758491864931,Synapse54,1758491864931,Synapse54
100,54449 (Marshfield),Wood County,Wisconsin,862751397ffffff,0,0.0,0.0,74865000.0,32221.11064945704,1758491864931,Synapse54,1758491864931,Synapse54
101,54412 (Auburndale),Wood County,Wisconsin,86275139fffffff,0,0.0,0.0,74822500.0,32214.932070370873,1758491864931,Synapse54,1758491864931,Synapse54
102,54484 (Stratford),Marathon County,Wisconsin,8627513a7ffffff,0,0.0,0.0,75267499.99609375,32308.08312819358,1758491864931,Synapse54,1758491864931,Synapse54
103,54412 (Auburndale),Wood County,Wisconsin,8627513afffffff,0,0.0,0.0,74865000.00390625,32221.11064945704,1758491864931,Synapse54,1758491864931,Synapse54
104,54484 (Stratford),Marathon County,Wisconsin,8627513b7ffffff,0,0.0,0.0,75058750.0,32263.601425693338,1758491864931,Synapse54,1758491864931,Synapse54
105,54771 (Thorp),Clark County,Wisconsin,862751407ffffff,0,0.0,0.0,75606250.0,32380.925902462488,1758491864931,Synapse54,1758491864931,Synapse54
106,54498 (Withee),Clark County,Wisconsin,86275140fffffff,0,0.0,0.0,75845000.00390625,32434.138770864396,1758491864931,Synapse54,1758491864931,Synapse54
107,54771 (Thorp),Clark County,Wisconsin,862751417ffffff,0,0.0,0.0,76033750.0,32472.053401072735,1758491864931,Synapse54,1758491864931,Synapse54
108,54771 (Thorp),Clark County,Wisconsin,86275141fffffff,0,0.0,0.0,75587499.99609375,32379.194197256962,1758491864931,Synapse54,1758491864931,Synapse54
109,54771 (Thorp),Clark County,Wisconsin,862751427ffffff,0,0.0,0.0,76032500.00390625,32472.260626225754,1758491864931,Synapse54,1758491864931,Synapse54
110,54498 (Withee),Clark County,Wisconsin,86275142fffffff,0,0.0,0.0,75885000.00390625,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
111,54771 (Thorp),Clark County,Wisconsin,862751437ffffff,0,0.0,0.0,75845000.0,32432.006079571664,1758491864931,Synapse54,1758491864931,Synapse54
112,54460 (Owen),Clark County,Wisconsin,862751447ffffff,0,0.0,0.0,75467500.0,32348.524656656453,1758491864931,Synapse54,1758491864931,Synapse54
113,54446 (Loyal),Clark County,Wisconsin,86275144fffffff,0,0.0,0.0,74995000.0,32248.68599044172,1758491864931,Synapse54,1758491864931,Synapse54
114,54437 (Greenwood),Clark County,Wisconsin,862751457ffffff,0,0.0,0.0,75517500.00390625,32361.928802351056,1758491864931,Synapse54,1758491864931,Synapse54
115,54437 (Greenwood),Clark County,Wisconsin,86275145fffffff,0,0.0,0.0,75202500.0,32295.263941164718,1758491864931,Synapse54,1758491864931,Synapse54
