OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1594,46131 (Franklin),Johnson County,Indiana,86266cda7ffffff,1977,18.87,18.87,58962500.0,28606.69264512888,1758492487369,Synapse54,1758492487369,Synapse54
1595,47224 (Canaan),Switzerland County,Indiana,86266ca77ffffff,86,16.93,16.93,57292499.99609375,28205.990933116926,1758492487369,Synapse54,1758492487369,Synapse54
1596,46131 (Franklin),Johnson County,Indiana,86266cdafffffff,3255,17.47,17.47,58751250.00390625,28559.751031629243,1758492487369,Synapse54,1758492487369,Synapse54
1597,47231 (Dupont),Jennings County,Indiana,86266ca87ffffff,40,21.28,21.28,57243750.0,28193.056522580417,1758492487369,Synapse54,1758492487369,Synapse54
1598,47250 (Madison),Jefferson County,Indiana,86266ca8fffffff,32,17.3,17.3,57101249.99609375,28159.58399058756,1758492487369,Synapse54,1758492487369,Synapse54
1599,47265 (North Vernon),Jennings County,Indiana,86266ca97ffffff,170,22.43,22.43,57493750.0,28258.955636888186,1758492487369,Synapse54,1758492487369,Synapse54
1600,47231 (Dupont),Jefferson County,Indiana,86266ca9fffffff,143,21.57,21.57,57101250.00390625,28159.583990587562,1758492487369,Synapse54,1758492487369,Synapse54
1601,47023 (Holton),Ripley County,Indiana,86266caa7ffffff,9,20.93,20.93,57735000.0,28312.54979551783,1758492487369,Synapse54,1758492487369,Synapse54
1602,47302 (Muncie),Delaware County,Indiana,862a921afffffff,138,24.73,24.73,60558750.0,28991.97995512589,1758492487369,Synapse54,1758492487369,Synapse54
1603,47396 (Yorktown),Delaware County,Indiana,862a921b7ffffff,363,22.99,22.99,61203750.0078125,29145.6816880862,1758492487369,Synapse54,1758492487369,Synapse54
1604,47331 (Connersville),Fayette County,Indiana,862a92207ffffff,966,22.89,22.89,59238749.99609375,28679.566772075403,1758492487369,Synapse54,1758492487369,Synapse54
1605,47331 (Connersville),Fayette County,Indiana,862a9220fffffff,234,23.56,23.56,59370000.00390625,28712.17494825072,1758492487369,Synapse54,1758492487369,Synapse54
1606,47331 (Connersville),Fayette County,Indiana,862a92217ffffff,191,23.55,23.55,59337499.99609375,28699.652404866538,1758492487369,Synapse54,1758492487369,Synapse54
1607,47331 (Connersville),Fayette County,Indiana,862a9221fffffff,144,24.12,24.12,59206250.0,28672.583846575206,1758492487369,Synapse54,1758492487369,Synapse54
1608,47331 (Connersville),Fayette County,Indiana,862a92227ffffff,2402,22.08,22.08,59370000.00390625,28712.174948250722,1758492487369,Synapse54,1758492487369,Synapse54
1609,47331 (Connersville),Fayette County,Indiana,862a9222fffffff,265,26.61,26.61,59369999.99609375,28712.17494825072,1758492487369,Synapse54,1758492487369,Synapse54
1610,47331 (Connersville),Fayette County,Indiana,862a92237ffffff,334,26.22,26.22,59606250.00390625,28766.628572582897,1758492487369,Synapse54,1758492487369,Synapse54
1611,47012 (Brookville),Franklin County,Indiana,862a92247ffffff,117,25.66,25.66,59157500.0,28660.06366360063,1758492487369,Synapse54,1758492487369,Synapse54
1612,47012 (Brookville),Franklin County,Indiana,862a9224fffffff,494,23.85,23.85,59003750.00390625,28620.20397036444,1758492487369,Synapse54,1758492487369,Synapse54
1613,47331 (Connersville),Franklin County,Indiana,862a92257ffffff,150,22.87,22.87,58938750.0,28605.529619213426,1758492487369,Synapse54,1758492487369,Synapse54
1614,47024 (Laurel),Franklin County,Indiana,862a9225fffffff,156,23.64,23.64,59003749.9921875,28620.20397036444,1758492487369,Synapse54,1758492487369,Synapse54
1615,47353 (Liberty),Union County,Indiana,862a92267ffffff,98,26.42,26.42,59290000.0,28692.749899421364,1758492487369,Synapse54,1758492487369,Synapse54
1616,47012 (Brookville),Franklin County,Indiana,862a9226fffffff,114,24.1,24.1,59003750.0,28620.20397036444,1758492487369,Synapse54,1758492487369,Synapse54
1617,47331 (Connersville),Fayette County,Indiana,862a92277ffffff,118,23.37,23.37,59370000.00390625,28712.174948250722,1758492487369,Synapse54,1758492487369,Synapse54
1618,46173 (Rushville),Rush County,Indiana,862a92287ffffff,40,24.69,24.69,59231249.99609375,28679.594896972307,1758492487369,Synapse54,1758492487369,Synapse54
1619,46173 (Rushville),Rush County,Indiana,862a9228fffffff,59,21.53,21.53,59150000.0078125,28652.34598693809,1758492487369,Synapse54,1758492487369,Synapse54
