OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPL1,TPOPL1_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
645,62354 (Nauvoo),Hancock County,Illinois,862670237ffffff,0,0.0,0.0,61086532.6640625,29121.424610368525,1758491782767,Synapse54,1758491782767,Synapse54
646,62565 (Shelbyville),Shelby County,Illinois,862644b6fffffff,0,0.0,0.0,58032458.25,28388.263545186768,1758491782767,Synapse54,1758491782767,Synapse54
647,61467 (Oneida),Knox County,Illinois,8626750afffffff,0,0.0,0.0,62574657.60546875,29471.79923171888,1758491782767,Synapse54,1758491782767,Synapse54
648,62321 (Carthage),Hancock County,Illinois,862670247ffffff,0,0.0,0.0,60803132.5859375,29053.766182950603,1758491782767,Synapse54,1758491782767,Synapse54
649,62565 (Shelbyville),Shelby County,Illinois,862644b77ffffff,0,0.0,0.0,58169031.2890625,28421.459619477915,1758491782767,Synapse54,1758491782767,Synapse54
650,62321 (Carthage),Hancock County,Illinois,86267024fffffff,0,0.0,0.0,60727292.7265625,29035.565059815242,1758491782767,Synapse54,1758491782767,Synapse54
651,61472 (Rio),Knox County,Illinois,8626750b7ffffff,0,0.0,0.0,62715856.19921875,29504.90115408815,1758491782767,Synapse54,1758491782767,Synapse54
652,61448 (Knoxville),Knox County,Illinois,8626750c7ffffff,0,0.0,0.0,62280310.77734375,29402.805611870805,1758491782767,Synapse54,1758491782767,Synapse54
653,62321 (Carthage),Hancock County,Illinois,862670257ffffff,0,0.0,0.0,60858962.8671875,29066.895447008937,1758491782767,Synapse54,1758491782767,Synapse54
654,62557 (Pana),Christian County,Illinois,862644b8fffffff,0,0.0,0.0,58334400.5625,28460.821320010284,1758491782767,Synapse54,1758491782767,Synapse54
655,61436 (Gilson),Knox County,Illinois,8626750cfffffff,0,0.0,0.0,62133700.1953125,29368.38182543924,1758491782767,Synapse54,1758491782767,Synapse54
656,62557 (Pana),Christian County,Illinois,862644b9fffffff,0,0.0,0.0,58394299.94140625,28475.194855270474,1758491782767,Synapse54,1758491782767,Synapse54
657,62321 (Carthage),Hancock County,Illinois,86267025fffffff,0,0.0,0.0,60783168.62890625,29048.713462504467,1758491782767,Synapse54,1758491782767,Synapse54
658,61401 (Galesburg),Knox County,Illinois,8626750d7ffffff,0,0.0,0.0,62274240.82421875,29401.442230859713,1758491782767,Synapse54,1758491782767,Synapse54
659,62557 (Pana),Christian County,Illinois,862644bafffffff,0,0.0,0.0,58350145.97265625,28464.953340514723,1758491782767,Synapse54,1758491782767,Synapse54
660,62321 (Carthage),Hancock County,Illinois,862670267ffffff,0,0.0,0.0,60823017.05859375,29058.801329223556,1758491782767,Synapse54,1758491782767,Synapse54
661,61448 (Knoxville),Knox County,Illinois,8626750dfffffff,0,0.0,0.0,62127787.28125,29367.05360422077,1758491782767,Synapse54,1758491782767,Synapse54
662,62321 (Carthage),Hancock County,Illinois,86267026fffffff,0,0.0,0.0,60747100.04296875,29040.58373794215,1758491782767,Synapse54,1758491782767,Synapse54
663,62878 (Rinard),Wayne County,Illinois,862645007ffffff,0,0.0,0.0,57142777.58984375,28168.160252972564,1758491782767,Synapse54,1758491782767,Synapse54
664,61467 (Oneida),Knox County,Illinois,8626750e7ffffff,0,0.0,0.0,62433220.83203125,29438.606068330235,1758491782767,Synapse54,1758491782767,Synapse54
665,62321 (Carthage),Hancock County,Illinois,862670277ffffff,0,0.0,0.0,60879004.546875,29071.964699008022,1758491782767,Synapse54,1758491782767,Synapse54
666,62823 (Cisne),Wayne County,Illinois,86264500fffffff,0,0.0,0.0,57067719.05859375,28149.61472380216,1758491782767,Synapse54,1758491782767,Synapse54
667,52632 (Keokuk),Lee County,Iowa,8626702afffffff,0,0.0,0.0,61045746.69921875,29111.13476454099,1758491782767,Synapse54,1758491782767,Synapse54
668,61428 (Dahinda),Knox County,Illinois,8626750efffffff,0,0.0,0.0,62286080.88671875,29404.099079651693,1758491782767,Synapse54,1758491782767,Synapse54
669,62878 (Rinard),Wayne County,Illinois,862645017ffffff,0,0.0,0.0,57203073.0390625,28182.779382066066,1758491782767,Synapse54,1758491782767,Synapse54
670,62850 (Johnsonville),Wayne County,Illinois,86264501fffffff,0,0.0,0.0,57128027.76171875,28164.246692913617,1758491782767,Synapse54,1758491782767,Synapse54
671,62379 (Warsaw),Hancock County,Illinois,8626702c7ffffff,0,0.0,0.0,60894313.32421875,29074.850777727916,1758491782767,Synapse54,1758491782767,Synapse54
672,61401 (Galesburg),Knox County,Illinois,8626750f7ffffff,0,0.0,0.0,62427295.03125,29437.277782537014,1758491782767,Synapse54,1758491782767,Synapse54
673,62379 (Warsaw),Hancock County,Illinois,8626702cfffffff,0,0.0,0.0,60818643.42578125,29056.704681955438,1758491782767,Synapse54,1758491782767,Synapse54
674,62839 (Flora),Clay County,Illinois,862645027ffffff,0,0.0,0.0,57157446.89453125,28172.055585514743,1758491782767,Synapse54,1758491782767,Synapse54
675,61238 (Cambridge),Henry County,Illinois,862675107ffffff,0,0.0,0.0,63192953.20703125,29615.97318604771,1758491782767,Synapse54,1758491782767,Synapse54
676,62379 (Warsaw),Hancock County,Illinois,8626702d7ffffff,0,0.0,0.0,60949580.5,29087.839450413416,1758491782767,Synapse54,1758491782767,Synapse54
677,62878 (Rinard),Wayne County,Illinois,86264502fffffff,0,0.0,0.0,57082328.08203125,28153.49674282348,1758491782767,Synapse54,1758491782767,Synapse54
678,61434 (Galva),Henry County,Illinois,86267510fffffff,0,0.0,0.0,63043433.19921875,29581.113094053813,1758491782767,Synapse54,1758491782767,Synapse54
679,62379 (Warsaw),Hancock County,Illinois,8626702dfffffff,0,0.0,0.0,60873957.35546875,29069.7126338296,1758491782767,Synapse54,1758491782767,Synapse54
