OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2608,61561 (Roanoke),Woodford County,Illinois,862662d2fffffff,16,11.68,11.68,62170000.00390625,29378.06052889309,1758492298951,Synapse54,1758492298951,Synapse54
2609,61570 (Washburn),Woodford County,Illinois,862662d37ffffff,20,9.48,9.48,62242500.0078125,29390.674215474806,1758492298951,Synapse54,1758492298951,Synapse54
2610,61530 (Eureka),Woodford County,Illinois,862662d47ffffff,23,11.5,11.5,61981250.0,29331.131034459886,1758492298951,Synapse54,1758492298951,Synapse54
2611,61771 (Secor),Woodford County,Illinois,862662d4fffffff,45,11.14,11.14,61787500.0,29288.750617747686,1758492298951,Synapse54,1758492298951,Synapse54
2612,61530 (Eureka),Woodford County,Illinois,862662d57ffffff,248,13.72,13.72,62265000.0,29399.788222196286,1758492298951,Synapse54,1758492298951,Synapse54
2613,61530 (Eureka),Woodford County,Illinois,862662d5fffffff,72,11.11,11.11,61665000.00390625,29257.937288544817,1758492298951,Synapse54,1758492298951,Synapse54
2614,61561 (Roanoke),Woodford County,Illinois,862662d67ffffff,23,11.56,11.56,62192500.0,29381.16693900306,1758492298951,Synapse54,1758492298951,Synapse54
2615,61771 (Secor),Woodford County,Illinois,862662d6fffffff,43,8.51,8.51,61787500.0,29288.750617747686,1758492298951,Synapse54,1758492298951,Synapse54
2616,61561 (Roanoke),Woodford County,Illinois,862662d77ffffff,231,11.49,11.49,61665000.0,29257.937288544817,1758492298951,Synapse54,1758492298951,Synapse54
2617,61611 (East Peoria),Woodford County,Illinois,862662d87ffffff,202,10.78,10.78,62119999.99609375,29364.831479167387,1758492298951,Synapse54,1758492298951,Synapse54
2618,61611 (East Peoria),Woodford County,Illinois,862662d8fffffff,710,10.39,10.39,62120000.0,29364.83147916738,1758492298951,Synapse54,1758492298951,Synapse54
2619,61615 (Peoria),Peoria County,Illinois,862662d97ffffff,1973,13.0,13.0,62098750.0,29360.439464661773,1758492298951,Synapse54,1758492298951,Synapse54
2620,61614 (Peoria),Peoria County,Illinois,862662d9fffffff,933,8.96,8.96,61455000.00390625,29207.85978612463,1758492298951,Synapse54,1758492298951,Synapse54
2621,61548 (Metamora),Woodford County,Illinois,862662da7ffffff,144,9.92,9.92,62121250.00390625,29365.014611738465,1758492298951,Synapse54,1758492298951,Synapse54
2622,61548 (Metamora),Woodford County,Illinois,862662dafffffff,187,11.42,11.42,61671249.99609375,29255.660397309803,1758492298951,Synapse54,1758492298951,Synapse54
2623,61523 (Chillicothe),Peoria County,Illinois,862662db7ffffff,186,9.83,9.83,62220000.0,29390.637928042906,1758492298951,Synapse54,1758492298951,Synapse54
2624,61920 (Charleston),Coles County,Illinois,862663007ffffff,14,9.27,9.27,58874999.99609375,28592.25267570003,1758492298951,Synapse54,1758492298951,Synapse54
2625,61920 (Charleston),Coles County,Illinois,86266300fffffff,8,8.51,8.51,58557499.9921875,28510.162503516018,1758492298951,Synapse54,1758492298951,Synapse54
2626,61920 (Charleston),Coles County,Illinois,862663017ffffff,5,8.62,8.62,58716250.0,28551.900401116258,1758492298951,Synapse54,1758492298951,Synapse54
2627,61920 (Charleston),Coles County,Illinois,86266301fffffff,10,9.71,9.71,58875000.00390625,28592.25267570003,1758492298951,Synapse54,1758492298951,Synapse54
2628,61920 (Charleston),Coles County,Illinois,862663027ffffff,13,9.22,9.22,58997500.0,28623.48821599224,1758492298951,Synapse54,1758492298951,Synapse54
2629,61920 (Charleston),Coles County,Illinois,86266302fffffff,11,8.94,8.94,58468750.0078125,28494.373434050947,1758492298951,Synapse54,1758492298951,Synapse54
2630,61930 (Hindsboro),Coles County,Illinois,862663037ffffff,3,8.33,8.33,58716250.00390625,28551.900401116258,1758492298951,Synapse54,1758492298951,Synapse54
2631,61912 (Ashmore),Coles County,Illinois,862663047ffffff,45,9.32,9.32,58346250.0078125,28463.137893758732,1758492298951,Synapse54,1758492298951,Synapse54
2632,61912 (Ashmore),Coles County,Illinois,862663057ffffff,21,6.65,6.65,58346249.98828125,28463.137893758736,1758492298951,Synapse54,1758492298951,Synapse54
2633,62474 (Westfield),Coles County,Illinois,86266305fffffff,8,5.33,5.33,58379999.9921875,28473.113857114615,1758492298951,Synapse54,1758492298951,Synapse54
2634,61912 (Ashmore),Coles County,Illinois,862663077ffffff,65,8.71,8.71,58468750.0078125,28494.373434050947,1758492298951,Synapse54,1758492298951,Synapse54
2635,61938 (Mattoon),Coles County,Illinois,862663087ffffff,35,9.56,9.56,58568750.00390625,28521.081613569324,1758492298951,Synapse54,1758492298951,Synapse54
2636,61938 (Mattoon),Coles County,Illinois,86266308fffffff,24,7.55,7.55,58296250.0078125,28453.837855322694,1758492298951,Synapse54,1758492298951,Synapse54
2637,61931 (Humboldt),Coles County,Illinois,862663097ffffff,55,14.44,14.44,58568749.9921875,28521.081613569324,1758492298951,Synapse54,1758492298951,Synapse54
2638,61938 (Mattoon),Coles County,Illinois,86266309fffffff,262,10.29,10.29,58479999.9921875,28499.532960632718,1758492298951,Synapse54,1758492298951,Synapse54
