OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3996,61283 (Tampico),Whiteside County,Illinois,862675927ffffff,147,17.97,17.97,64830000.0,29991.43009791951,1758492426650,Synapse54,1758492426650,Synapse54
3997,60655 (Chicago),Cook County,Illinois,862664577ffffff,15951,19.84,19.84,65535000.0,30155.432679366124,1758492426650,Synapse54,1758492426650,Synapse54
3998,61770 (Saybrook),McLean County,Illinois,862662b0fffffff,15,21.43,21.43,60888749.9921875,29077.014026695793,1758492426650,Synapse54,1758492426650,Synapse54
3999,62454 (Robinson),Crawford County,Illinois,86266e517ffffff,1098,19.39,19.39,57278750.0,28203.79015401644,1758492426650,Synapse54,1758492426650,Synapse54
4000,60030 (Grayslake),Lake County,Illinois,862759ab7ffffff,2003,19.06,19.06,67109999.9921875,30514.93772059322,1758492426650,Synapse54,1758492426650,Synapse54
4001,60527 (Willowbrook),DuPage County,Illinois,8626645afffffff,2459,19.26,19.26,65313750.0,30104.23860473745,1758492426650,Synapse54,1758492426650,Synapse54
4002,61277 (Prophetstown),Whiteside County,Illinois,862675937ffffff,21,21.88,21.88,64396250.0,29894.686932234243,1758492426650,Synapse54,1758492426650,Synapse54
4003,60585 (Plainfield),Will County,Illinois,862666947ffffff,7987,25.71,25.71,64837500.0,29995.895613825858,1758492426650,Synapse54,1758492426650,Synapse54
4004,60417 (Crete),Will County,Illinois,862664737ffffff,1834,20.55,20.55,64544999.9921875,29931.58515585307,1758492426650,Synapse54,1758492426650,Synapse54
4005,61722 (Arrowsmith),McLean County,Illinois,862662b17ffffff,72,21.75,21.75,61267500.0,29165.7265823571,1758492426650,Synapse54,1758492426650,Synapse54
4006,60046 (Lake Villa),Lake County,Illinois,862759b97ffffff,4629,22.96,22.96,67266249.9921875,30550.08899552146,1758492426650,Synapse54,1758492426650,Synapse54
4007,61350 (Ottawa),LaSalle County,Illinois,86266619fffffff,29,17.06,17.06,63930000.00390625,29786.068467756406,1758492426650,Synapse54,1758492426650,Synapse54
4008,60614 (Chicago),Cook County,Illinois,862664c17ffffff,29237,13.55,13.55,66017500.00390625,30265.28470948131,1758492426650,Synapse54,1758492426650,Synapse54
4009,61722 (Arrowsmith),McLean County,Illinois,862662b1fffffff,14,21.88,21.88,61105000.0,29123.996108313513,1758492426650,Synapse54,1758492426650,Synapse54
4010,62454 (Robinson),Crawford County,Illinois,86266e51fffffff,60,22.56,22.56,57070000.00390625,28156.798161269075,1758492426650,Synapse54,1758492426650,Synapse54
4011,60605 (Chicago),Cook County,Illinois,862664c1fffffff,22153,14.07,14.07,65795000.00390625,30217.857329182414,1758492426650,Synapse54,1758492426650,Synapse54
4012,60544 (Plainfield),Will County,Illinois,86266694fffffff,6906,24.92,24.92,64965000.0078125,30022.385283453725,1758492426650,Synapse54,1758492426650,Synapse54
4013,60640 (Chicago),Cook County,Illinois,862664c37ffffff,0,0.0,0.0,66187500.0,30306.013608440786,1758492426650,Synapse54,1758492426650,Synapse54
4014,60460 (Odell),Livingston County,Illinois,862666207ffffff,191,18.31,18.31,62585000.0,29476.639004852215,1758492426650,Synapse54,1758492426650,Synapse54
4015,60644 (Chicago),Cook County,Illinois,862664c87ffffff,35794,20.06,20.06,65795000.0,30213.233959394485,1758492426650,Synapse54,1758492426650,Synapse54
4016,62451 (Palestine),Crawford County,Illinois,86266e537ffffff,51,22.17,22.17,57157500.0,28172.17090208074,1758492426650,Synapse54,1758492426650,Synapse54
4017,60623 (Chicago),Cook County,Illinois,862664c8fffffff,31456,19.04,19.04,65887500.0,30234.072384573166,1758492426650,Synapse54,1758492426650,Synapse54
4018,60543 (Oswego),Kendall County,Illinois,862666957ffffff,6259,21.44,21.44,65456250.0,30140.360676391174,1758492426650,Synapse54,1758492426650,Synapse54
4019,60160 (Melrose Park),Cook County,Illinois,862664c97ffffff,16823,20.18,20.18,65677500.0078125,30191.55475101985,1758492426650,Synapse54,1758492426650,Synapse54
4020,60460 (Odell),Livingston County,Illinois,86266620fffffff,16,19.75,19.75,62802500.0,29524.16219615724,1758492426650,Synapse54,1758492426650,Synapse54
4021,60546 (Riverside),Cook County,Illinois,862664c9fffffff,23055,21.24,21.24,65887500.0,30234.07238457317,1758492426650,Synapse54,1758492426650,Synapse54
4022,62427 (Flat Rock),Crawford County,Illinois,86266e557ffffff,36,21.18,21.18,57070000.00390625,28156.798161269075,1758492426650,Synapse54,1758492426650,Synapse54
4023,60618 (Chicago),Cook County,Illinois,862664ca7ffffff,48770,18.6,18.6,65887500.0,30234.072384573166,1758492426650,Synapse54,1758492426650,Synapse54
4024,60543 (Oswego),Kendall County,Illinois,86266695fffffff,2278,25.69,25.69,65006250.0,30037.851502114285,1758492426650,Synapse54,1758492426650,Synapse54
4025,60612 (Chicago),Cook County,Illinois,862664cafffffff,30200,14.93,14.93,65664999.99609375,30186.645004274265,1758492426650,Synapse54,1758492426650,Synapse54
4026,60460 (Odell),Livingston County,Illinois,862666217ffffff,11,18.97,18.97,62747500.0,29509.6810729413,1758492426650,Synapse54,1758492426650,Synapse54
4027,60634 (Chicago),Cook County,Illinois,862664cb7ffffff,35886,21.27,21.27,66226250.0,30315.835833706537,1758492426650,Synapse54,1758492426650,Synapse54
4028,62454 (Robinson),Crawford County,Illinois,86266e587ffffff,116,20.1,20.1,57312500.00390625,28213.359912812382,1758492426650,Synapse54,1758492426650,Synapse54
4029,60637 (Chicago),Cook County,Illinois,862664cc7ffffff,24968,17.14,17.14,65795000.00390625,30213.233959394485,1758492426650,Synapse54,1758492426650,Synapse54
4030,60540 (Naperville),DuPage County,Illinois,862666967ffffff,9444,23.22,23.22,65253749.99609375,30089.463896220586,1758492426650,Synapse54,1758492426650,Synapse54
4031,60619 (Chicago),Cook County,Illinois,862664ccfffffff,21339,20.62,20.62,65236249.99609375,30084.367700429368,1758492426650,Synapse54,1758492426650,Synapse54
4032,60460 (Odell),Livingston County,Illinois,86266621fffffff,22,18.49,18.49,62771250.0,29514.561691914176,1758492426650,Synapse54,1758492426650,Synapse54
4033,60629 (Chicago),Cook County,Illinois,862664cd7ffffff,40508,19.64,19.64,65535000.0,30155.432679366124,1758492426650,Synapse54,1758492426650,Synapse54
4034,62454 (Robinson),Crawford County,Illinois,86266e58fffffff,46,18.04,18.04,57150000.00390625,28176.355609939073,1758492426650,Synapse54,1758492426650,Synapse54
4035,60620 (Chicago),Cook County,Illinois,862664cdfffffff,21923,20.17,20.17,65572499.99609375,30165.806579095584,1758492426650,Synapse54,1758492426650,Synapse54
4036,60460 (Odell),Livingston County,Illinois,862666227ffffff,10,20.0,20.0,62961250.0,29560.3130205119,1758492426650,Synapse54,1758492426650,Synapse54
4037,60653 (Chicago),Cook County,Illinois,862664ce7ffffff,5396,18.87,18.87,65572499.99609375,30165.806579095588,1758492426650,Synapse54,1758492426650,Synapse54
4038,60585 (Plainfield),Will County,Illinois,86266696fffffff,8708,25.37,25.37,65092500.0,30053.04453010877,1758492426650,Synapse54,1758492426650,Synapse54
4039,60649 (Chicago),Cook County,Illinois,862664cefffffff,7693,20.67,20.67,65457499.99609375,30132.02554800406,1758492426650,Synapse54,1758492426650,Synapse54
4040,62449 (Oblong),Crawford County,Illinois,86266e597ffffff,303,17.91,17.91,56978750.0,28130.409401012166,1758492426650,Synapse54,1758492426650,Synapse54
