OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1597,47522 (Crane),Martin County,Indiana,86266ea87ffffff,10,10.53,10.53,56768750.0078125,28082.54406011451,1758492309873,Synapse54,1758492309873,Synapse54
1598,46742 (Hamilton),DeKalb County,Indiana,8627496d7ffffff,71,9.71,9.71,65144999.99609375,30065.873081087193,1758492309873,Synapse54,1758492309873,Synapse54
1599,47613 (Elberfeld),Warrick County,Indiana,86266a8b7ffffff,182,12.03,12.03,56004999.99609375,27890.50745898393,1758492309873,Synapse54,1758492309873,Synapse54
1600,47452 (Orleans),Orange County,Indiana,862668d2fffffff,48,11.32,11.32,56090000.0,27914.153046399035,1758492309873,Synapse54,1758492309873,Synapse54
1601,41005 (Burlington),Boone County,Kentucky,862a937afffffff,75,10.98,10.98,57638750.0,28293.51108595737,1758492309873,Synapse54,1758492309873,Synapse54
1602,46135 (Greencastle),Putnam County,Indiana,8626610c7ffffff,671,8.95,8.95,59258750.0,28683.52397389595,1758492309873,Synapse54,1758492309873,Synapse54
1603,46151 (Martinsville),Morgan County,Indiana,86266136fffffff,83,9.09,9.09,58677500.0,28541.253754353507,1758492309873,Synapse54,1758492309873,Synapse54
1604,46721 (Butler),DeKalb County,Indiana,8627496dfffffff,345,12.08,12.08,65146250.0,30065.948370367623,1758492309873,Synapse54,1758492309873,Synapse54
1605,47167 (Salem),Washington County,Indiana,86266c61fffffff,16,6.32,6.32,56437499.99609375,27993.665841433023,1758492309873,Synapse54,1758492309873,Synapse54
1606,47601 (Boonville),Warrick County,Indiana,86266a8c7ffffff,103,8.71,8.71,55668750.0,27806.789679186422,1758492309873,Synapse54,1758492309873,Synapse54
1607,46941 (Lagro),Wabash County,Indiana,862665b0fffffff,21,7.89,7.89,62904999.99609375,29545.490362819408,1758492309873,Synapse54,1758492309873,Synapse54
1608,43518 (Edon),Williams County,Ohio,8627496e7ffffff,121,11.76,11.76,65224999.99609375,30086.338097987104,1758492309873,Synapse54,1758492309873,Synapse54
1609,47454 (Paoli),Orange County,Indiana,862668d37ffffff,54,11.97,11.97,56532500.00390625,28021.463354199062,1758492309873,Synapse54,1758492309873,Synapse54
1610,46135 (Greencastle),Putnam County,Indiana,8626610cfffffff,85,9.16,9.16,59258749.99609375,28683.52397389595,1758492309873,Synapse54,1758492309873,Synapse54
1611,47001 (Aurora),Dearborn County,Indiana,862a937b7ffffff,452,10.52,10.52,57847499.99609375,28339.944833530113,1758492309873,Synapse54,1758492309873,Synapse54
1612,47581 (Shoals),Martin County,Indiana,86266ea8fffffff,78,10.43,10.43,56435000.0,27997.998905600813,1758492309873,Synapse54,1758492309873,Synapse54
1613,47601 (Boonville),Spencer County,Indiana,86266a8cfffffff,47,9.07,9.07,55462500.00390625,27749.266215311018,1758492309873,Synapse54,1758492309873,Synapse54
1614,46742 (Hamilton),Steuben County,Indiana,8627496f7ffffff,57,10.42,10.42,65392500.00390625,30120.157610829065,1758492309873,Synapse54,1758492309873,Synapse54
1615,46992 (Wabash),Wabash County,Indiana,862665b17ffffff,44,8.94,8.94,63119999.99609375,29598.82727735561,1758492309873,Synapse54,1758492309873,Synapse54
1616,47281 (Vallonia),Washington County,Indiana,86266c627ffffff,15,8.47,8.47,56786249.99609375,28086.90021183926,1758492309873,Synapse54,1758492309873,Synapse54
1617,46135 (Greencastle),Putnam County,Indiana,8626610d7ffffff,177,8.95,8.95,59073750.00390625,28637.391543013036,1758492309873,Synapse54,1758492309873,Synapse54
1618,46151 (Martinsville),Morgan County,Indiana,862661377ffffff,151,9.03,9.03,58961249.99609375,28613.924438050755,1758492309873,Synapse54,1758492309873,Synapse54
1619,47601 (Boonville),Warrick County,Indiana,86266a8d7ffffff,479,10.25,10.25,55640000.00390625,27796.398334018122,1758492309873,Synapse54,1758492309873,Synapse54
1620,47125 (Hardinsburg),Washington County,Indiana,862668d47ffffff,84,10.76,10.76,55965000.0,27881.61485931064,1758492309873,Synapse54,1758492309873,Synapse54
1621,46737 (Fremont),Steuben County,Indiana,862749787ffffff,269,12.66,12.66,66033750.0078125,30266.30735000712,1758492309873,Synapse54,1758492309873,Synapse54
1622,61814 (Bismarck),Vermilion County,Illinois,862660237ffffff,12,11.01,11.01,61025000.0,29102.253146054718,1758492309873,Synapse54,1758492309873,Synapse54
1623,46135 (Greencastle),Putnam County,Indiana,8626610dfffffff,335,8.04,8.04,59231250.00390625,28677.524680859893,1758492309873,Synapse54,1758492309873,Synapse54
1624,47553 (Loogootee),Martin County,Indiana,86266ea97ffffff,192,16.67,16.67,56643749.99609375,28044.599959935655,1758492309873,Synapse54,1758492309873,Synapse54
1625,46737 (Fremont),Steuben County,Indiana,86274978fffffff,39,9.9,9.9,65916249.99609375,30240.057340562922,1758492309873,Synapse54,1758492309873,Synapse54
1626,47170 (Scottsburg),Washington County,Indiana,86266c62fffffff,17,9.39,9.39,56687500.0,28060.19145763003,1758492309873,Synapse54,1758492309873,Synapse54
1627,46941 (Lagro),Wabash County,Indiana,862665b1fffffff,56,7.72,7.72,62903750.00390625,29545.32743044602,1758492309873,Synapse54,1758492309873,Synapse54
1628,46120 (Cloverdale),Putnam County,Indiana,862661387ffffff,39,11.24,11.24,59228750.0,28674.83765988867,1758492309873,Synapse54,1758492309873,Synapse54
1629,46737 (Fremont),Steuben County,Indiana,862749797ffffff,105,8.15,8.15,66033749.9921875,30266.30735000712,1758492309873,Synapse54,1758492309873,Synapse54
1630,47932 (Covington),Fountain County,Indiana,862660247ffffff,31,8.36,8.36,60595000.0,29008.025134738473,1758492309873,Synapse54,1758492309873,Synapse54
1631,46737 (Fremont),Steuben County,Indiana,86274979fffffff,163,11.51,11.51,65834999.99609375,30219.121533122438,1758492309873,Synapse54,1758492309873,Synapse54
1632,47125 (Hardinsburg),Orange County,Indiana,862668d57ffffff,70,13.7,13.7,55909999.99609375,27867.147270122616,1758492309873,Synapse54,1758492309873,Synapse54
1633,47630 (Newburgh),Warrick County,Indiana,86266a8dfffffff,73,9.48,9.48,55639999.99609375,27796.398334018122,1758492309873,Synapse54,1758492309873,Synapse54
1634,47281 (Vallonia),Washington County,Indiana,86266c637ffffff,15,7.18,7.18,56925000.0,28113.376975136413,1758492309873,Synapse54,1758492309873,Synapse54
1635,46990 (Urbana),Wabash County,Indiana,862665b27ffffff,26,10.4,10.4,63562500.0,29699.167018965934,1758492309873,Synapse54,1758492309873,Synapse54
1636,46128 (Fillmore),Putnam County,Indiana,8626610e7ffffff,61,11.8,11.8,59173749.9921875,28663.234809352954,1758492309873,Synapse54,1758492309873,Synapse54
1637,47553 (Loogootee),Martin County,Indiana,86266ea9fffffff,207,12.66,12.66,56434999.99609375,27997.998905600813,1758492309873,Synapse54,1758492309873,Synapse54
1638,46737 (Fremont),Steuben County,Indiana,8627497afffffff,80,8.58,8.58,66287500.0,30326.89265086575,1758492309873,Synapse54,1758492309873,Synapse54
1639,47601 (Boonville),Warrick County,Indiana,86266a8e7ffffff,167,8.21,8.21,55668750.00390625,27806.789679186422,1758492309873,Synapse54,1758492309873,Synapse54
1640,47987 (Veedersburg),Fountain County,Indiana,86266024fffffff,29,8.45,8.45,60033750.0,28868.453351940145,1758492309873,Synapse54,1758492309873,Synapse54
1641,46128 (Fillmore),Putnam County,Indiana,8626610efffffff,97,10.13,10.13,59386250.00390625,28715.44175760241,1758492309873,Synapse54,1758492309873,Synapse54
1642,47456 (Quincy),Morgan County,Indiana,86266138fffffff,52,8.83,8.83,58961249.99609375,28616.156664108403,1758492309873,Synapse54,1758492309873,Synapse54
1643,46794 (Wawaka),Noble County,Indiana,86274b367ffffff,79,12.01,12.01,64856250.0,29998.86098412231,1758492309873,Synapse54,1758492309873,Synapse54
1644,47145 (Milltown),Crawford County,Indiana,862668d5fffffff,43,10.29,10.29,55813750.00390625,27841.244829872274,1758492309873,Synapse54,1758492309873,Synapse54
1645,47601 (Boonville),Warrick County,Indiana,86266a8efffffff,55,8.63,8.63,55443749.99609375,27745.400366046346,1758492309873,Synapse54,1758492309873,Synapse54
1646,47167 (Salem),Washington County,Indiana,86266c647ffffff,71,12.37,12.37,56275000.0,27959.3648742861,1758492309873,Synapse54,1758492309873,Synapse54
1647,46135 (Greencastle),Putnam County,Indiana,8626610f7ffffff,36,9.52,9.52,59416250.0,28724.66008609188,1758492309873,Synapse54,1758492309873,Synapse54
1648,46702 (Andrews),Huntington County,Indiana,862665b2fffffff,75,9.78,9.78,62903750.0,29545.32743044602,1758492309873,Synapse54,1758492309873,Synapse54
1649,46794 (Wawaka),Noble County,Indiana,86274b377ffffff,95,16.9,16.9,64856250.0,29998.860984122304,1758492309873,Synapse54,1758492309873,Synapse54
1650,47522 (Crane),Martin County,Indiana,86266eaa7ffffff,2,12.5,12.5,56559999.98828125,28029.901182054382,1758492309873,Synapse54,1758492309873,Synapse54
1651,47601 (Boonville),Warrick County,Indiana,86266a8f7ffffff,637,9.52,9.52,55807500.0,27839.733929161797,1758492309873,Synapse54,1758492309873,Synapse54
1652,47932 (Covington),Vermillion County,Indiana,862660257ffffff,24,8.7,8.7,60121250.00390625,28889.046343165406,1758492309873,Synapse54,1758492309873,Synapse54
1653,46526 (Goshen),Elkhart County,Indiana,86274b387ffffff,504,13.99,13.99,65295000.0,30098.98192300146,1758492309873,Synapse54,1758492309873,Synapse54
1654,47834 (Brazil),Clay County,Indiana,862661617ffffff,351,10.98,10.98,58708750.0,28552.430389760895,1758492309873,Synapse54,1758492309873,Synapse54
1655,47125 (Hardinsburg),Washington County,Indiana,862668d77ffffff,40,11.14,11.14,55938750.00390625,27873.46932462597,1758492309873,Synapse54,1758492309873,Synapse54
1656,47968 (New Ross),Montgomery County,Indiana,862661107ffffff,46,11.59,11.59,59943750.0,28849.788445925802,1758492309873,Synapse54,1758492309873,Synapse54
1657,47165 (Pekin),Washington County,Indiana,86266c64fffffff,68,9.39,9.39,56245000.00390625,27952.871207719418,1758492309873,Synapse54,1758492309873,Synapse54
