OBJECTID,admin4_name,admin3_name,admin2_name,id,MILLENN_CY,MILLENN_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2298,46986 (Swayzee),Grant County,Indiana,862a92d97ffffff,44,18.26,18.26,61922500.0,29313.900054684404,1758492393705,Synapse54,1758492393705,Synapse54
2299,46050 (Kirklin),Tipton County,Indiana,8626652dfffffff,66,21.78,21.78,60850000.0,29066.555094672553,1758492393705,Synapse54,1758492393705,Synapse54
2300,46928 (Fairmount),Grant County,Indiana,862a92d9fffffff,46,17.1,17.1,61768750.0,29279.991756928976,1758492393705,Synapse54,1758492393705,Synapse54
2301,46072 (Tipton),Tipton County,Indiana,8626652e7ffffff,124,21.09,21.09,61280000.0,29160.693505011342,1758492393705,Synapse54,1758492393705,Synapse54
2302,46953 (Marion),Grant County,Indiana,862a92da7ffffff,1414,15.28,15.28,61985000.0,29331.80976830254,1758492393705,Synapse54,1758492393705,Synapse54
2303,46072 (Tipton),Tipton County,Indiana,8626652efffffff,72,19.3,19.3,61064999.99609375,29113.624299841948,1758492393705,Synapse54,1758492393705,Synapse54
2304,46928 (Fairmount),Grant County,Indiana,862a92dafffffff,403,19.82,19.82,61901249.99609375,29312.125207548776,1758492393705,Synapse54,1758492393705,Synapse54
2305,46049 (Kempton),Tipton County,Indiana,8626652f7ffffff,60,21.9,21.9,61224999.99609375,29154.252562817623,1758492393705,Synapse54,1758492393705,Synapse54
2306,46953 (Marion),Grant County,Indiana,862a92db7ffffff,60,17.96,17.96,62117500.0,29359.35439130631,1758492393705,Synapse54,1758492393705,Synapse54
2307,46901 (Kokomo),Howard County,Indiana,862665307ffffff,72,18.46,18.46,61791250.0,29286.425047881596,1758492393705,Synapse54,1758492393705,Synapse54
2308,47012 (Brookville),Franklin County,Indiana,862a93527ffffff,51,20.56,20.56,58824999.99609375,28580.553692795143,1758492393705,Synapse54,1758492393705,Synapse54
2309,46901 (Kokomo),Howard County,Indiana,86266530fffffff,285,17.71,17.71,61922500.0,29318.62811470236,1758492393705,Synapse54,1758492393705,Synapse54
2310,47012 (Brookville),Franklin County,Indiana,862a93537ffffff,161,20.91,20.91,59003750.00390625,28620.20397036444,1758492393705,Synapse54,1758492393705,Synapse54
2311,46901 (Kokomo),Howard County,Indiana,862665317ffffff,432,19.9,19.9,62007500.0,29333.654231639135,1758492393705,Synapse54,1758492393705,Synapse54
2312,47010 (Bath),Union County,Indiana,862a93c87ffffff,102,21.29,21.29,59190000.0,28667.31495088062,1758492393705,Synapse54,1758492393705,Synapse54
2313,46901 (Kokomo),Howard County,Indiana,86266531fffffff,3323,23.08,23.08,62062500.0,29346.97220547281,1758492393705,Synapse54,1758492393705,Synapse54
2314,45056 (Oxford),Butler County,Ohio,862a93c8fffffff,174,18.09,18.09,59191250.0,28667.067346737644,1758492393705,Synapse54,1758492393705,Synapse54
2315,46901 (Kokomo),Miami County,Indiana,862665327ffffff,81,17.65,17.65,62331250.00390625,29412.537410183417,1758492393705,Synapse54,1758492393705,Synapse54
2316,47353 (Liberty),Union County,Indiana,862a93c97ffffff,52,20.72,20.72,59189999.9921875,28667.314950880616,1758492393705,Synapse54,1758492393705,Synapse54
