OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
44,Marcus Bay Park Cinema,Willard Dr,Ashwaubenon,Wisconsin,WI,54304,5238,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,20.0,1162000.0,Data Axle,73bb1b358862cf962d129240d338322d,"Marcus Bay Park Cinema, Ashwaubenon, Wisconsin",44.484557999999986,-88.06192399999999,1758493540260,Synapse54,1758493540260,Synapse54
45,Marcus Bistroplex Southridge,S 76 Th St,Greendale,Wisconsin,WI,53129,1116,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,20000 - 39999,20000.0,39999.0,8.0,440000.0,Data Axle,fe40494caf040c1c2edea0c4d6a1d92f,"Marcus Bistroplex Southridge, Greendale, Wisconsin",42.95045699999998,-88.001748,1758493540260,Synapse54,1758493540260,Synapse54
46,Marcus Campus Cinema,Watson St,Ripon,Wisconsin,WI,54971,1326,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,20.0,1109000.0,Data Axle,577dc11fa6feceda542ee8bfee1af27e,"Marcus Campus Cinema, Ripon, Wisconsin",43.846034,-88.838526,1758493540260,Synapse54,1758493540260,Synapse54
47,Marcus Cedar Creek Cinema,Market St,Rothschild,Wisconsin,WI,54474,7982,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,Low,Information,Branch,100000+,100000.0,,28.0,1402000.0,Data Axle,ab4e33892641087905c865870c00ff42,"Marcus Cedar Creek Cinema, Rothschild, Wisconsin",44.863579999999985,-89.631637,1758493540260,Synapse54,1758493540260,Synapse54
48,Marcus Green Bay East Cinema,Kepler Dr,Green Bay,Wisconsin,WI,54311,,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,16.0,930000.0,Data Axle,6d0452a6a6838455f961682d01bc9ad4,"Marcus Green Bay East Cinema, Green Bay, Wisconsin",44.482468999999995,-87.940241,1758493540260,Synapse54,1758493540260,Synapse54
49,Marcus Hillside Cinema,Hillside Dr,Delafield,Wisconsin,WI,53018,2172,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,20.0,1077000.0,Data Axle,3761e66ae0087de86adbb0471d19c515,"Marcus Hillside Cinema, Delafield, Wisconsin",43.047125,-88.36969499999998,1758493540260,Synapse54,1758493540260,Synapse54
50,Marcus Hollywood Cinema,N Westhill Blvd,Appleton,Wisconsin,WI,54914,5780,51213101,"51213101, 71312001",783201,"783201, 799303","Theatres-Movie, Arcades",,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,17.0,,Data Axle,41eb3c81f3d3f602be7e8cd872fda70d,"Marcus Hollywood Cinema, Appleton, Wisconsin",44.26453499999999,-88.463392,1758493540260,Synapse54,1758493540260,Synapse54
51,Marcus La Crosse Cinema,Ward Ave,La Crosse,Wisconsin,WI,54601,6745,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,17.0,,Data Axle,d250b1a658b80ded1b1d535cebebf9ea,"Marcus La Crosse Cinema, La Crosse, Wisconsin",43.782828999999985,-91.22509699999999,1758493540260,Synapse54,1758493540260,Synapse54
52,Marcus Majestic Cinema of Brookfield,N Springdale Rd,Waukesha,Wisconsin,WI,53186,1815,51213101,51213101,783201,783201,Theatres-Movie,,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,21.0,1131000.0,Data Axle,e896d0709e60b29f07805748791e371f,"Marcus Majestic Cinema of Brookfield, Waukesha, Wisconsin",43.039829999999995,-88.18326599999999,1758493540260,Synapse54,1758493540260,Synapse54
53,Marcus Menomonee Falls Cinema,Premier Ln,Menomonee Falls,Wisconsin,WI,53051,,51213101,"51213101, 72241003",783201,"783201, 581303","Theatres-Movie, Cocktail Lounges",,,Marcus Theatres Corporation,High,Information,Branch,40000 - 99999,40000.0,99999.0,19.0,,Data Axle,185039ba28739752cccbc3338e7bf159,"Marcus Menomonee Falls Cinema, Menomonee Falls, Wisconsin",43.185740999999965,-88.134301,1758493540260,Synapse54,1758493540260,Synapse54
