OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3520,54844 (Herbster),Bayfield County,Wisconsin,86275454fffffff,10,18.87,18.87,82710000.01171875,33862.71623102014,1758492455545,Synapse54,1758492455545,Synapse54
3521,54552 (Park Falls),Iron County,Wisconsin,862755567ffffff,7,18.92,18.92,80325000.00390625,33375.19603840359,1758492455545,Synapse54,1758492455545,Synapse54
3522,54895 (Weyerhaeuser),Rusk County,Wisconsin,86275070fffffff,7,19.44,19.44,77636250.00390625,32809.126232884075,1758492455545,Synapse54,1758492455545,Synapse54
3523,54552 (Park Falls),Iron County,Wisconsin,86275556fffffff,1,20.0,20.0,80531250.00390625,33414.456718585745,1758492455545,Synapse54,1758492455545,Synapse54
3524,54547 (Mercer),Iron County,Wisconsin,862755577ffffff,16,16.49,16.49,80325000.0,33375.19603840359,1758492455545,Synapse54,1758492455545,Synapse54
3525,54868 (Rice Lake),Barron County,Wisconsin,862750717ffffff,83,21.23,21.23,77715000.00390625,32827.84893550671,1758492455545,Synapse54,1758492455545,Synapse54
3526,54527 (Glidden),Ashland County,Wisconsin,862755587ffffff,14,21.54,21.54,80310000.0,33368.74781759331,1758492455545,Synapse54,1758492455545,Synapse54
3527,54865 (Port Wing),Bayfield County,Wisconsin,86275455fffffff,46,17.83,17.83,82909999.99609375,33905.71838624182,1758492455545,Synapse54,1758492455545,Synapse54
3528,54514 (Butternut),Ashland County,Wisconsin,86275558fffffff,9,21.95,21.95,80115000.0,33326.43236113113,1758492455545,Synapse54,1758492455545,Synapse54
3529,54844 (Herbster),Bayfield County,Wisconsin,86275456fffffff,19,17.76,17.76,82927500.0,33906.60903447185,1758492455545,Synapse54,1758492455545,Synapse54
3530,54527 (Glidden),Ashland County,Wisconsin,862755597ffffff,129,21.64,21.64,80290000.0,33365.05841894177,1758492455545,Synapse54,1758492455545,Synapse54
3531,54868 (Rice Lake),Barron County,Wisconsin,86275071fffffff,31,20.95,20.95,77408750.0,32761.985352305004,1758492455545,Synapse54,1758492455545,Synapse54
3532,54514 (Butternut),Ashland County,Wisconsin,86275559fffffff,22,21.57,21.57,80310000.00390625,33368.74781759331,1758492455545,Synapse54,1758492455545,Synapse54
3533,54856 (Mason),Bayfield County,Wisconsin,862754607ffffff,5,22.73,22.73,81687500.00390625,33655.41790904735,1758492455545,Synapse54,1758492455545,Synapse54
3534,54527 (Glidden),Ashland County,Wisconsin,8627555a7ffffff,9,21.43,21.43,80573750.0,33423.69378582468,1758492455545,Synapse54,1758492455545,Synapse54
3535,54817 (Birchwood),Rusk County,Wisconsin,862750727ffffff,9,18.75,18.75,77828750.0,32852.15129675634,1758492455545,Synapse54,1758492455545,Synapse54
3536,54514 (Butternut),Ashland County,Wisconsin,8627555afffffff,2,18.18,18.18,80525000.0,33413.326541122784,1758492455545,Synapse54,1758492455545,Synapse54
3537,54832 (Drummond),Bayfield County,Wisconsin,86275460fffffff,10,22.73,22.73,81112500.0,33534.91408609626,1758492455545,Synapse54,1758492455545,Synapse54
3538,54527 (Glidden),Ashland County,Wisconsin,8627555b7ffffff,9,21.43,21.43,80964999.99609375,33507.101619348025,1758492455545,Synapse54,1758492455545,Synapse54
3539,54868 (Rice Lake),Barron County,Wisconsin,862750737ffffff,121,20.13,20.13,77602499.99609375,32804.943804161885,1758492455545,Synapse54,1758492455545,Synapse54
3540,54513 (Brantwood),Price County,Wisconsin,862755607ffffff,3,21.43,21.43,78611250.00390625,33014.32266742378,1758492455545,Synapse54,1758492455545,Synapse54
3541,54564 (Tripoli),Oneida County,Wisconsin,86275560fffffff,7,21.88,21.88,78370000.00390625,32965.726463876774,1758492455545,Synapse54,1758492455545,Synapse54
3542,54847 (Iron River),Bayfield County,Wisconsin,862754617ffffff,1,25.0,25.0,81453750.0,33603.50107990019,1758492455545,Synapse54,1758492455545,Synapse54
3543,54513 (Brantwood),Price County,Wisconsin,862755617ffffff,11,25.0,25.0,78782499.9921875,33052.7843034243,1758492455545,Synapse54,1758492455545,Synapse54
3544,54868 (Rice Lake),Barron County,Wisconsin,862750787ffffff,518,17.48,17.48,77234999.99609375,32727.918091806132,1758492455545,Synapse54,1758492455545,Synapse54
3545,54513 (Brantwood),Price County,Wisconsin,86275561fffffff,12,24.49,24.49,78136249.99609375,32917.165310221106,1758492455545,Synapse54,1758492455545,Synapse54
3546,54832 (Drummond),Bayfield County,Wisconsin,86275461fffffff,5,21.74,21.74,81095000.0,33531.73317359158,1758492455545,Synapse54,1758492455545,Synapse54
3547,54564 (Tripoli),Oneida County,Wisconsin,862755627ffffff,3,20.0,20.0,78802500.0,33056.95302571669,1758492455545,Synapse54,1758492455545,Synapse54
3548,54822 (Cameron),Barron County,Wisconsin,86275078fffffff,580,19.94,19.94,77714999.99609375,32827.84893550671,1758492455545,Synapse54,1758492455545,Synapse54
3549,54564 (Tripoli),Oneida County,Wisconsin,86275562fffffff,0,0.0,0.0,78611249.99609375,33014.32266742378,1758492455545,Synapse54,1758492455545,Synapse54
3550,54856 (Mason),Bayfield County,Wisconsin,862754627ffffff,19,21.11,21.11,81687500.0,33655.417909047355,1758492455545,Synapse54,1758492455545,Synapse54
3551,54555 (Phillips),Price County,Wisconsin,862755637ffffff,5,20.83,20.83,78782500.0078125,33052.7843034243,1758492455545,Synapse54,1758492455545,Synapse54
3552,54868 (Rice Lake),Barron County,Wisconsin,862750797ffffff,62,20.95,20.95,77587500.0078125,32799.691370407345,1758492455545,Synapse54,1758492455545,Synapse54
3553,54564 (Tripoli),Lincoln County,Wisconsin,862755647ffffff,26,20.47,20.47,78503750.0,32992.31742810952,1758492455545,Synapse54,1758492455545,Synapse54
3554,54856 (Mason),Bayfield County,Wisconsin,86275462fffffff,6,22.22,22.22,81309999.99609375,33577.98837844911,1758492455545,Synapse54,1758492455545,Synapse54
