OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
723,46383 (Valparaiso),Porter County,Indiana,862664a9fffffff,937,21.51,21.51,64398750.00390625,29892.533246010928,1758492351220,Synapse54,1758492351220,Synapse54
724,46740 (Geneva),Adams County,Indiana,862a96297ffffff,382,24.33,24.33,62150000.0,29371.814018452493,1758492351220,Synapse54,1758492351220,Synapse54
725,40143 (Hardinsburg),Breckinridge County,Kentucky,8626687a7ffffff,28,19.44,19.44,54862500.0,27605.686784440702,1758492351220,Synapse54,1758492351220,Synapse54
726,46390 (Wanatah),LaPorte County,Indiana,862664ac7ffffff,37,20.22,20.22,64379999.99609375,29889.307587172163,1758492351220,Synapse54,1758492351220,Synapse54
727,47954 (Ladoga),Montgomery County,Indiana,8626611afffffff,149,20.99,20.99,59902500.00390625,28838.331654356512,1758492351220,Synapse54,1758492351220,Synapse54
728,42348 (Hawesville),Hancock County,Kentucky,8626687b7ffffff,45,18.91,18.91,55316250.0,27721.125179288098,1758492351220,Synapse54,1758492351220,Synapse54
729,47557 (Monroe City),Knox County,Indiana,86266e757ffffff,30,22.39,22.39,56481250.0,28008.134236096463,1758492351220,Synapse54,1758492351220,Synapse54
730,47012 (Brookville),Franklin County,Indiana,862a93517ffffff,121,21.65,21.65,58792499.9921875,28573.38760263977,1758492351220,Synapse54,1758492351220,Synapse54
731,47118 (English),Crawford County,Indiana,862668c0fffffff,113,20.96,20.96,55606250.0,27794.85856511485,1758492351220,Synapse54,1758492351220,Synapse54
732,46348 (La Crosse),LaPorte County,Indiana,862664acfffffff,15,21.74,21.74,64117500.00390625,29830.578954407556,1758492351220,Synapse54,1758492351220,Synapse54
733,47165 (Pekin),Washington County,Indiana,862668937ffffff,153,22.08,22.08,56275000.0,27959.3648742861,1758492351220,Synapse54,1758492351220,Synapse54
734,47118 (English),Crawford County,Indiana,862668c1fffffff,36,19.67,19.67,55785000.0,27834.922775368916,1758492351220,Synapse54,1758492351220,Synapse54
735,46570 (Tippecanoe),Marshall County,Indiana,8626659afffffff,302,21.63,21.63,64132500.0,29832.062364572692,1758492351220,Synapse54,1758492351220,Synapse54
736,47960 (Monticello),White County,Indiana,862665457ffffff,79,16.06,16.06,62338749.99609375,29410.96475246978,1758492351220,Synapse54,1758492351220,Synapse54
737,47145 (Milltown),Crawford County,Indiana,862668c47ffffff,93,20.22,20.22,55732500.0,27827.154652202924,1758492351220,Synapse54,1758492351220,Synapse54
738,46390 (Wanatah),LaPorte County,Indiana,862664ad7ffffff,94,20.17,20.17,64308750.00390625,29872.05053387935,1758492351220,Synapse54,1758492351220,Synapse54
739,47355 (Lynn),Randolph County,Indiana,862a92b97ffffff,66,22.53,22.53,60327499.9921875,28939.877339111,1758492351220,Synapse54,1758492351220,Synapse54
740,47326 (Bryant),Jay County,Indiana,862a9629fffffff,206,30.84,30.84,62183749.99609375,29379.054193702465,1758492351220,Synapse54,1758492351220,Synapse54
741,47137 (Leavenworth),Crawford County,Indiana,862668c4fffffff,27,19.01,19.01,55221250.0,27701.22514389821,1758492351220,Synapse54,1758492351220,Synapse54
742,47567 (Petersburg),Pike County,Indiana,86266e75fffffff,207,20.25,20.25,56481250.0,28008.134236096463,1758492351220,Synapse54,1758492351220,Synapse54
743,47118 (English),Crawford County,Indiana,862668c57ffffff,58,20.0,20.0,55606250.0,27794.85856511485,1758492351220,Synapse54,1758492351220,Synapse54
744,46570 (Tippecanoe),Marshall County,Indiana,8626659b7ffffff,69,23.47,23.47,64132500.00390625,29833.926684771122,1758492351220,Synapse54,1758492351220,Synapse54
745,47393 (Williamsburg),Wayne County,Indiana,862a92b9fffffff,103,26.61,26.61,60673750.0,29019.39488027817,1758492351220,Synapse54,1758492351220,Synapse54
746,46740 (Geneva),Adams County,Indiana,862a962a7ffffff,424,38.16,38.16,62264999.99609375,29393.49412202528,1758492351220,Synapse54,1758492351220,Synapse54
747,47118 (English),Crawford County,Indiana,862668c5fffffff,119,19.16,19.16,55398750.00390625,27741.359122271748,1758492351220,Synapse54,1758492351220,Synapse54
748,46348 (La Crosse),LaPorte County,Indiana,862664adfffffff,164,21.05,21.05,64308750.00390625,29872.050533879352,1758492351220,Synapse54,1758492351220,Synapse54
749,47115 (Depauw),Harrison County,Indiana,862668c67ffffff,259,20.7,20.7,55607499.99609375,27794.686953051518,1758492351220,Synapse54,1758492351220,Synapse54
750,47933 (Crawfordsville),Montgomery County,Indiana,8626611b7ffffff,365,20.68,20.68,60243749.99609375,28917.16336238421,1758492351220,Synapse54,1758492351220,Synapse54
751,47012 (Brookville),Franklin County,Indiana,862a9351fffffff,125,19.38,19.38,58606250.0078125,28526.019648407942,1758492351220,Synapse54,1758492351220,Synapse54
752,47557 (Monroe City),Knox County,Indiana,86266e767ffffff,19,18.81,18.81,56198750.0,27939.63744634411,1758492351220,Synapse54,1758492351220,Synapse54
753,47115 (Depauw),Harrison County,Indiana,862668c6fffffff,102,19.32,19.32,55551250.0,27780.079107807032,1758492351220,Synapse54,1758492351220,Synapse54
754,47111 (Charlestown),Clark County,Indiana,862668967ffffff,1727,22.44,22.44,56073750.00390625,27906.083940128487,1758492351220,Synapse54,1758492351220,Synapse54
755,46340 (Hanna),LaPorte County,Indiana,862664ae7ffffff,197,20.98,20.98,64752499.99609375,29971.88758817075,1758492351220,Synapse54,1758492351220,Synapse54
756,47960 (Monticello),White County,Indiana,86266545fffffff,147,16.52,16.52,61931250.0,29317.118086431907,1758492351220,Synapse54,1758492351220,Synapse54
757,47140 (Marengo),Crawford County,Indiana,862668c77ffffff,336,21.36,21.36,55398749.99609375,27741.359122271748,1758492351220,Synapse54,1758492351220,Synapse54
758,46941 (Lagro),Wabash County,Indiana,862665b07ffffff,160,18.63,18.63,62872500.0,29538.590045873032,1758492351220,Synapse54,1758492351220,Synapse54
759,47116 (Eckerty),Crawford County,Indiana,862668c87ffffff,114,17.54,17.54,55660000.0,27810.99577312794,1758492351220,Synapse54,1758492351220,Synapse54
760,47355 (Lynn),Randolph County,Indiana,862a92ba7ffffff,64,18.93,18.93,60706250.00390625,29026.518421019424,1758492351220,Synapse54,1758492351220,Synapse54
761,47326 (Bryant),Jay County,Indiana,862a962afffffff,96,30.28,30.28,62400000.0078125,29426.23931508452,1758492351220,Synapse54,1758492351220,Synapse54
762,46340 (Hanna),LaPorte County,Indiana,862664aefffffff,40,20.94,20.94,64532500.00390625,29924.425082683185,1758492351220,Synapse54,1758492351220,Synapse54
763,47116 (Eckerty),Crawford County,Indiana,862668c8fffffff,93,18.13,18.13,55605000.00390625,27787.916999092504,1758492351220,Synapse54,1758492351220,Synapse54
764,46166 (Paragon),Morgan County,Indiana,862661207ffffff,105,21.04,21.04,58677500.0,28541.253754353507,1758492351220,Synapse54,1758492351220,Synapse54
765,47567 (Petersburg),Pike County,Indiana,86266e76fffffff,31,20.53,20.53,56021249.99609375,27892.56206651961,1758492351220,Synapse54,1758492351220,Synapse54
766,47521 (Celestine),Dubois County,Indiana,862668c97ffffff,76,21.53,21.53,55605000.0,27787.916999092504,1758492351220,Synapse54,1758492351220,Synapse54
