OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK1,TPOPK1_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
106,47601 (Boonville),Spencer County,Indiana,86266a857ffffff,0,0.0,0.0,55658750.0,27800.28805936345,1758491900577,Synapse54,1758491900577,Synapse54
107,46150 (Manilla),Rush County,Indiana,862a9265fffffff,0,0.0,0.0,59200000.00390625,28672.774378490463,1758491900577,Synapse54,1758491900577,Synapse54
108,47611 (Chrisney),Spencer County,Indiana,86266a85fffffff,0,0.0,0.0,55668750.00390625,27806.789679186422,1758491900577,Synapse54,1758491900577,Synapse54
109,47537 (Gentryville),Spencer County,Indiana,86266a867ffffff,0,0.0,0.0,55668750.00390625,27806.789679186422,1758491900577,Synapse54,1758491900577,Synapse54
110,47421 (Bedford),Lawrence County,Indiana,86266eb57ffffff,6,0.4,0.4,57102500.0,28161.158121433204,1758491900577,Synapse54,1758491900577,Synapse54
111,46173 (Rushville),Rush County,Indiana,862a92667ffffff,0,0.0,0.0,59575000.0,28759.097500517706,1758491900577,Synapse54,1758491900577,Synapse54
112,47611 (Chrisney),Spencer County,Indiana,86266a86fffffff,0,0.0,0.0,55668750.0,27806.789679186422,1758491900577,Synapse54,1758491900577,Synapse54
113,47637 (Tennyson),Warrick County,Indiana,86266a877ffffff,0,0.0,0.0,55482500.0,27764.68521258142,1758491900577,Synapse54,1758491900577,Synapse54
114,47446 (Mitchell),Lawrence County,Indiana,86266eb5fffffff,0,0.0,0.0,56380000.0,27980.85122476038,1758491900577,Synapse54,1758491900577,Synapse54
115,46173 (Rushville),Rush County,Indiana,862a9266fffffff,0,0.0,0.0,59044999.99609375,28632.5768136197,1758491900577,Synapse54,1758491900577,Synapse54
116,47610 (Chandler),Warrick County,Indiana,86266a887ffffff,0,0.0,0.0,55844999.99609375,27842.39252596846,1758491900577,Synapse54,1758491900577,Synapse54
117,47421 (Bedford),Lawrence County,Indiana,86266eb67ffffff,0,0.0,0.0,56685000.0,28061.90497597181,1758491900577,Synapse54,1758491900577,Synapse54
118,46104 (Arlington),Rush County,Indiana,862a92677ffffff,0,0.0,0.0,59412500.00390625,28719.802542909085,1758491900577,Synapse54,1758491900577,Synapse54
119,47610 (Chandler),Warrick County,Indiana,86266a88fffffff,0,0.0,0.0,55815000.0078125,27846.235548984772,1758491900577,Synapse54,1758491900577,Synapse54
