OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
746,54960 (Neshkoro),Marquette County,Wisconsin,86275c707ffffff,73,37.06,37.06,72412500.0078125,31691.072500370763,1758492472594,Synapse54,1758492472594,Synapse54
747,54416 (Bowler),Menominee County,Wisconsin,86274209fffffff,2,25.0,25.0,76836250.0,32639.978869332517,1758492472594,Synapse54,1758492472594,Synapse54
748,53094 (Watertown),Jefferson County,Wisconsin,862758b1fffffff,80,25.0,25.0,69707500.00390625,31099.98260166592,1758492472594,Synapse54,1758492472594,Synapse54
749,54960 (Neshkoro),Marquette County,Wisconsin,86275c70fffffff,87,41.83,41.83,72412500.0,31691.072500370763,1758492472594,Synapse54,1758492472594,Synapse54
750,53098 (Watertown),Dodge County,Wisconsin,862758b27ffffff,67,25.77,25.77,70083750.0078125,31177.60811927672,1758492472594,Synapse54,1758492472594,Synapse54
751,54982 (Wautoma),Marquette County,Wisconsin,86275c717ffffff,87,31.52,31.52,72774999.99609375,31768.888527548293,1758492472594,Synapse54,1758492472594,Synapse54
752,54491 (White Lake),Langlade County,Wisconsin,8627420a7ffffff,110,34.81,34.81,77075000.00390625,32691.066770662062,1758492472594,Synapse54,1758492472594,Synapse54
753,53098 (Watertown),Dodge County,Wisconsin,862758b2fffffff,2670,20.93,20.93,70137500.0,31193.392877852733,1758492472594,Synapse54,1758492472594,Synapse54
754,53949 (Montello),Marquette County,Wisconsin,86275c71fffffff,61,37.89,37.89,72382500.0,31683.02908011404,1758492472594,Synapse54,1758492472594,Synapse54
755,54491 (White Lake),Langlade County,Wisconsin,8627420afffffff,117,34.11,34.11,77075000.0,32691.066770662062,1758492472594,Synapse54,1758492472594,Synapse54
756,53579 (Reeseville),Dodge County,Wisconsin,862758b37ffffff,69,25.0,25.0,70367500.0,31241.153943472676,1758492472594,Synapse54,1758492472594,Synapse54
757,54960 (Neshkoro),Waushara County,Wisconsin,86275c727ffffff,216,35.47,35.47,72928750.00390625,31803.106555274942,1758492472594,Synapse54,1758492472594,Synapse54
758,54418 (Bryant),Langlade County,Wisconsin,8627420b7ffffff,17,36.96,36.96,77450000.0,32773.431277870506,1758492472594,Synapse54,1758492472594,Synapse54
