OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3398,61330 (La Moille),Bureau County,Illinois,86266651fffffff,25,26.32,26.32,64075000.00390625,29817.307431731148,1758492504859,Synapse54,1758492504859,Synapse54
3399,61953 (Tuscola),Douglas County,Illinois,8626631b7ffffff,29,25.0,25.0,59300000.0,28693.25824992123,1758492504859,Synapse54,1758492504859,Synapse54
3400,61330 (La Moille),Bureau County,Illinois,862666527ffffff,35,26.72,26.72,64458749.99609375,29907.77017917698,1758492504859,Synapse54,1758492504859,Synapse54
3401,61951 (Sullivan),Moultrie County,Illinois,862663407ffffff,57,22.09,22.09,59007500.0078125,28626.049943137194,1758492504859,Synapse54,1758492504859,Synapse54
3402,61342 (Mendota),Bureau County,Illinois,86266652fffffff,51,26.29,26.29,64391249.99609375,29892.75573946892,1758492504859,Synapse54,1758492504859,Synapse54
3403,61951 (Sullivan),Moultrie County,Illinois,86266340fffffff,357,20.26,20.26,58582500.0078125,28526.429991932462,1758492504859,Synapse54,1758492504859,Synapse54
3404,61330 (La Moille),Bureau County,Illinois,862666537ffffff,38,25.17,25.17,64391249.99609375,29892.568119232583,1758492504859,Synapse54,1758492504859,Synapse54
3405,61373 (Utica),LaSalle County,Illinois,862666567ffffff,116,28.93,28.93,64362500.0,29890.556371940333,1758492504859,Synapse54,1758492504859,Synapse54
3406,61914 (Bethany),Moultrie County,Illinois,862663417ffffff,333,23.01,23.01,58639999.9921875,28533.420583135376,1758492504859,Synapse54,1758492504859,Synapse54
3407,61342 (Mendota),LaSalle County,Illinois,862666577ffffff,40,27.97,27.97,64126250.00390625,29828.840177664384,1758492504859,Synapse54,1758492504859,Synapse54
3408,61914 (Bethany),Moultrie County,Illinois,86266341fffffff,68,27.53,27.53,58241250.0,28438.83126194873,1758492504859,Synapse54,1758492504859,Synapse54
3409,61349 (Ohio),Bureau County,Illinois,862666587ffffff,44,26.19,26.19,64148750.00390625,29834.388362811143,1758492504859,Synapse54,1758492504859,Synapse54
3410,61937 (Lovington),Moultrie County,Illinois,862663427ffffff,73,24.33,24.33,58916250.01171875,28604.50129020059,1758492504859,Synapse54,1758492504859,Synapse54
3411,61356 (Princeton),Bureau County,Illinois,86266658fffffff,89,30.07,30.07,64023749.9921875,29810.13864495662,1758492504859,Synapse54,1758492504859,Synapse54
3412,61951 (Sullivan),Moultrie County,Illinois,86266342fffffff,224,21.35,21.35,58916249.98828125,28604.50129020059,1758492504859,Synapse54,1758492504859,Synapse54
3413,61376 (Walnut),Bureau County,Illinois,862666597ffffff,26,25.49,25.49,64052500.0,29812.71719231039,1758492504859,Synapse54,1758492504859,Synapse54
3414,61925 (Dalton City),Moultrie County,Illinois,862663437ffffff,17,24.64,24.64,59007499.99609375,28626.049943137194,1758492504859,Synapse54,1758492504859,Synapse54
3415,61356 (Princeton),Bureau County,Illinois,86266659fffffff,33,30.28,30.28,64023749.9921875,29810.138644956623,1758492504859,Synapse54,1758492504859,Synapse54
3416,61951 (Sullivan),Moultrie County,Illinois,862663447ffffff,74,25.78,25.78,58386249.99609375,28475.14754436848,1758492504859,Synapse54,1758492504859,Synapse54
