OBJECTID,DESCRIPTION,ID,P5YTENRENT,P5YTENRENT_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
302,"J2G (Granby, QC)",J2G,9208,60.14,60.14,27125065.5,40964.248286282396,1753799933059,Synapse54,1753799933059,Synapse54
303,"J2H (Granby, QC)",J2H,2775,26.93,26.93,136788271.0,82651.78876586944,1753799933059,Synapse54,1753799933059,Synapse54
304,"J2J (Granby, QC)",J2J,4382,45.81,45.81,158975426.5,75483.31166212616,1753799933059,Synapse54,1753799933059,Synapse54
305,"J2K (Cowansville, QC)",J2K,4657,46.86,46.86,327067186.0,107161.13325887192,1753799933059,Synapse54,1753799933059,Synapse54
306,"J2L (Bromont, QC)",J2L,1883,27.7,27.7,230068726.0,81624.30958657779,1753799933059,Synapse54,1753799933059,Synapse54
307,"J2M (Shefford, QC)",J2M,295,8.99,8.99,242332781.2734375,116121.4987637872,1753799933059,Synapse54,1753799933059,Synapse54
308,"J2N (Farnham, QC)",J2N,2347,42.52,42.52,187541869.5,67299.99265741695,1753799933059,Synapse54,1753799933059,Synapse54
309,"J2R (Saint-Hyacinthe, QC)",J2R,1268,28.79,28.79,202913088.0,104737.13437793839,1753799933059,Synapse54,1753799933059,Synapse54
310,"J2S (Saint-Hyacinthe, QC)",J2S,10280,65.99,65.99,64473264.0,73386.10579135851,1753799933059,Synapse54,1753799933059,Synapse54
311,"J2T (Saint-Hyacinthe, QC)",J2T,3581,43.1,43.1,91771688.0,53456.23963708392,1753799933059,Synapse54,1753799933059,Synapse54
312,"J2W (Saint-Jean-Sur-Richelieu, QC)",J2W,2574,21.04,21.04,103463004.5,59571.138073747235,1753799933059,Synapse54,1753799933059,Synapse54
313,"J2X (Saint-Jean-Sur-Richelieu, QC)",J2X,3351,36.08,36.08,145676986.0,80102.73759580929,1753799933059,Synapse54,1753799933059,Synapse54
314,"J2Y (Saint-Jean-Sur-Richelieu, QC)",J2Y,239,9.97,9.97,146400386.17578125,73826.30271667863,1753799933059,Synapse54,1753799933059,Synapse54
315,"J3A (Saint-Jean-Sur-Richelieu, QC)",J3A,4198,78.5,78.5,6186209.0,11188.578319190965,1753799933059,Synapse54,1753799933059,Synapse54
316,"J3B (Saint-Jean-Sur-Richelieu, QC)",J3B,8829,52.99,52.99,95704303.5,54381.46319865555,1753799933059,Synapse54,1753799933059,Synapse54
317,"J3E (Sainte-Julie, QC)",J3E,2968,23.69,23.69,105827610.5,60902.63170645707,1753799933059,Synapse54,1753799933059,Synapse54
318,"J3G (Beloeil, QC)",J3G,4934,31.43,31.43,171490984.5,98109.63892656052,1753799933059,Synapse54,1753799933059,Synapse54
319,"J3H (Beloeil, QC)",J3H,2299,20.01,20.01,80996367.5,55540.40786090735,1753799933059,Synapse54,1753799933059,Synapse54
320,"J3L (Chambly, QC)",J3L,6104,25.59,25.59,364093398.0,124754.83820581688,1753799933059,Synapse54,1753799933059,Synapse54
321,"J3M (Marieville, QC)",J3M,1711,33.82,33.82,126097256.5,55752.50302456562,1753799933059,Synapse54,1753799933059,Synapse54
322,"J3N (St-Basile-Le-Grand, QC)",J3N,1001,14.48,14.48,74736126.0,37659.20099111866,1753799933059,Synapse54,1753799933059,Synapse54
323,"J3P (Sorel-Tracy, QC)",J3P,5238,40.71,40.71,211886795.0,80652.39762505802,1753799933059,Synapse54,1753799933059,Synapse54
324,"J3R (Sorel-Tracy, QC)",J3R,3147,42.1,42.1,57862738.0,40488.46821105956,1753799933059,Synapse54,1753799933059,Synapse54
325,"J3T (Nicolet, QC)",J3T,1509,38.01,38.01,271606732.5,71484.12258274788,1753799933059,Synapse54,1753799933059,Synapse54
326,"J3V (Saint-Bruno, QC)",J3V,1627,15.09,15.09,90158805.5,51396.92313356961,1753799933059,Synapse54,1753799933059,Synapse54
327,"J3X (Varennes, QC)",J3X,1968,22.25,22.25,232058892.5,71561.3428539275,1753799933059,Synapse54,1753799933059,Synapse54
