OBJECTID,DESCRIPTION,ID,ECYMTN1524,ECYMTN1524_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
265,"J0C (Saint-Germain-De-Grantham, QC)",J0C,186,1.87,1.87,2217789273.0,543899.6487326861,1753800849569,Synapse54,1753800849569,Synapse54
266,"J0E (Waterloo, QC)",J0E,360,1.41,1.41,4549634499.230469,648394.7017630582,1753800849569,Synapse54,1753800849569,Synapse54
267,"J0G (Saint-Francois-Du-Lac, QC)",J0G,172,2.02,2.02,2514787680.5,333340.5205009883,1753800849569,Synapse54,1753800849569,Synapse54
268,"J0H (Acton Vale, QC)",J0H,492,2.15,2.15,4017334345.9570312,538883.6400762808,1753800849569,Synapse54,1753800849569,Synapse54
269,"J0J (Napierville, QC)",J0J,250,1.36,1.36,3163504441.4609375,385870.6950955986,1753800849569,Synapse54,1753800849569,Synapse54
270,"J0K (Rawdon, QC)",J0K,1561,2.1,2.1,29697039721.0,1406950.3334880418,1753800849569,Synapse54,1753800849569,Synapse54
271,"J0L (Saint-Amable, QC)",J0L,770,2.0,2.0,2780902762.0429688,596544.2844540038,1753800849569,Synapse54,1753800849569,Synapse54
272,"J0M (Chisasibi, QC)",J0M,318,4.55,4.55,2507274503756.0,24396187.397056405,1753800849569,Synapse54,1753800849569,Synapse54
273,"J0N (Sainte-Marthe-Sur-Le-Lac, QC)",J0N,195,1.24,1.24,341790001.0,92049.64421828423,1753800849569,Synapse54,1753800849569,Synapse54
274,"J0P (Saint-Zotique, QC)",J0P,271,1.47,1.47,1320873265.0,299819.56036801497,1753800849569,Synapse54,1753800849569,Synapse54
275,"J0R (Saint-Sauveur, QC)",J0R,154,0.81,0.81,549507968.0,153164.86554496005,1753800849569,Synapse54,1753800849569,Synapse54
276,"J0S (Sainte-Martine, QC)",J0S,337,2.1,2.1,3261392891.5,373681.8522427627,1753800849569,Synapse54,1753800849569,Synapse54
277,"J0T (Saint-Donat-De-Montcalm, QC)",J0T,399,1.41,1.41,10294024616.5,948593.2698027412,1753800849569,Synapse54,1753800849569,Synapse54
278,"J0V (Saint-Andre-Avellin, QC)",J0V,200,1.48,1.48,5169637352.5,604696.2148960141,1753800849569,Synapse54,1753800849569,Synapse54
279,"J0W (Lac-Des-Ecorces, QC)",J0W,113,1.29,1.29,72760667284.5,2116484.49890364,1753800849569,Synapse54,1753800849569,Synapse54
280,"J0X (Wakefield, QC)",J0X,333,1.5,1.5,18401542242.5,1302599.5812032141,1753800849569,Synapse54,1753800849569,Synapse54
281,"J0Y (Malartic, QC)",J0Y,345,3.0,3.0,223534310999.0,3278730.6722274064,1753800849569,Synapse54,1753800849569,Synapse54
282,"J0Z (Lorrainville, QC)",J0Z,454,3.01,3.01,59867601510.0,2216439.0400546975,1753800849569,Synapse54,1753800849569,Synapse54
283,"J1A (Coaticook, QC)",J1A,139,3.15,3.15,568143726.5,138682.11350637994,1753800849569,Synapse54,1753800849569,Synapse54
284,"J1C (Sherbrooke, QC)",J1C,70,2.45,2.45,148314795.5,58854.95341782354,1753800849569,Synapse54,1753800849569,Synapse54
285,"J1E (Sherbrooke, QC)",J1E,1098,8.13,8.13,36392307.5,31305.785200373433,1753800849569,Synapse54,1753800849569,Synapse54
286,"J1G (Sherbrooke, QC)",J1G,407,4.27,4.27,23722537.5,26568.26494121696,1753800849569,Synapse54,1753800849569,Synapse54
287,"J1H (Sherbrooke, QC)",J1H,2233,12.99,12.99,90156997.5,95524.0591322304,1753800849569,Synapse54,1753800849569,Synapse54
288,"J1J (Sherbrooke, QC)",J1J,354,4.55,4.55,14850239.5,21529.415696903085,1753800849569,Synapse54,1753800849569,Synapse54
289,"J1K (Sherbrooke, QC)",J1K,652,17.5,17.5,14646372.0,20632.820225363073,1753800849569,Synapse54,1753800849569,Synapse54
290,"J1L (Sherbrooke, QC)",J1L,318,3.88,3.88,27073074.0,24825.97616578884,1753800849569,Synapse54,1753800849569,Synapse54
291,"J1M (Sherbrooke, QC)",J1M,315,11.26,11.26,66319442.5,51850.27975629163,1753800849569,Synapse54,1753800849569,Synapse54
292,"J1N (Sherbrooke, QC)",J1N,385,2.51,2.51,196798113.5,75865.43435097949,1753800849569,Synapse54,1753800849569,Synapse54
293,"J1R (Sherbrooke, QC)",J1R,61,1.3,1.3,129969730.0,55500.89678544112,1753800849569,Synapse54,1753800849569,Synapse54
294,"J1S (Windsor, QC)",J1S,123,3.51,3.51,306725365.5,94080.75320925176,1753800849569,Synapse54,1753800849569,Synapse54
295,"J1T (Val-Des-Sources, QC)",J1T,153,3.71,3.71,94108625.0,49846.76465177346,1753800849569,Synapse54,1753800849569,Synapse54
296,"J1X (Magog, QC)",J1X,330,1.93,1.93,728921445.0,201253.21200864858,1753800849569,Synapse54,1753800849569,Synapse54
297,"J1Z (Saint-Cyrille-De-Wendover, QC)",J1Z,60,2.62,2.62,352999380.0,123836.95765720992,1753800849569,Synapse54,1753800849569,Synapse54
298,"J2A (Drummondville, QC)",J2A,179,3.37,3.37,210419353.0,83920.96306970775,1753800849569,Synapse54,1753800849569,Synapse54
299,"J2B (Drummondville, QC)",J2B,806,4.87,4.87,262759591.40234375,162201.91283563137,1753800849569,Synapse54,1753800849569,Synapse54
300,"J2C (Drummondville, QC)",J2C,660,4.36,4.36,46328225.59765625,41604.1853996451,1753800849569,Synapse54,1753800849569,Synapse54
301,"J2E (Drummondville, QC)",J2E,76,3.59,3.59,18350789.5,28926.839340474853,1753800849569,Synapse54,1753800849569,Synapse54
302,"J2G (Granby, QC)",J2G,643,4.37,4.37,27125065.5,40964.248286282396,1753800849569,Synapse54,1753800849569,Synapse54
303,"J2H (Granby, QC)",J2H,96,0.98,0.98,136788271.0,82651.78876586944,1753800849569,Synapse54,1753800849569,Synapse54
304,"J2J (Granby, QC)",J2J,346,3.81,3.81,158975426.5,75483.31166212616,1753800849569,Synapse54,1753800849569,Synapse54
305,"J2K (Cowansville, QC)",J2K,270,2.95,2.95,327067186.0,107161.13325887192,1753800849569,Synapse54,1753800849569,Synapse54
306,"J2L (Bromont, QC)",J2L,113,1.91,1.91,230068726.0,81624.30958657779,1753800849569,Synapse54,1753800849569,Synapse54
307,"J2M (Shefford, QC)",J2M,36,1.15,1.15,242332781.2734375,116121.4987637872,1753800849569,Synapse54,1753800849569,Synapse54
