OBJECTID,DESCRIPTION,ID,P5YTENHHD,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
239,"H7V (Laval, QC)",H7V,11114,11114,13084368.0,17090.83415240245,1753799558460,Synapse54,1753799558460,Synapse54
240,"H7W (Laval, QC)",H7W,17986,17986,21296664.5,20542.33134907331,1753799558460,Synapse54,1753799558460,Synapse54
241,"H7X (Laval, QC)",H7X,10315,10315,31137712.0,25106.867662548826,1753799558460,Synapse54,1753799558460,Synapse54
242,"H7Y (Laval, QC)",H7Y,3640,3640,14444971.0,18869.75173232823,1753799558460,Synapse54,1753799558460,Synapse54
243,"H8N (Lasalle, QC)",H8N,14728,14728,14389471.0,18103.010513945057,1753799558460,Synapse54,1753799558460,Synapse54
244,"H8P (Lasalle, QC)",H8P,10812,10812,21862717.5,20668.285538772176,1753799558460,Synapse54,1753799558460,Synapse54
245,"H8R (Lasalle, QC)",H8R,14409,14409,18116586.5,27293.21202861797,1753799558460,Synapse54,1753799558460,Synapse54
246,"H8S (Lasalle, QC)",H8S,13035,13035,19856874.0,24144.754425147134,1753799558460,Synapse54,1753799558460,Synapse54
247,"H8T (Pointe-Claire-Dorval, QC)",H8T,6569,6569,21610415.0,20729.17122189251,1753799558460,Synapse54,1753799558460,Synapse54
248,"H8Y (Roxboro, QC)",H8Y,7595,7595,14039619.0,22252.616674527148,1753799558460,Synapse54,1753799558460,Synapse54
249,"H8Z (Roxboro, QC)",H8Z,5955,5955,11082242.5,14451.759662340886,1753799558460,Synapse54,1753799558460,Synapse54
250,"H9A (Pierrefonds, QC)",H9A,6230,6230,9353959.0,13155.163982221264,1753799558460,Synapse54,1753799558460,Synapse54
251,"H9B (Roxboro, QC)",H9B,7786,7786,14796114.0,18421.91025899604,1753799558460,Synapse54,1753799558460,Synapse54
252,"H9C (Pierrefonds, QC)",H9C,4346,4346,24503744.5,20531.792890304176,1753799558460,Synapse54,1753799558460,Synapse54
253,"H9E (Pierrefonds, QC)",H9E,1330,1330,42250333.0,27083.5790617143,1753799558460,Synapse54,1753799558460,Synapse54
254,"H9G (Pointe-Claire-Dorval, QC)",H9G,5935,5935,8457140.5,12464.539249179079,1753799558460,Synapse54,1753799558460,Synapse54
255,"H9H (Pierrefonds, QC)",H9H,9747,9747,19613903.5,23879.67204388559,1753799558460,Synapse54,1753799558460,Synapse54
256,"H9J (Pierrefonds, QC)",H9J,7794,7794,17167469.0,23970.816444803262,1753799558460,Synapse54,1753799558460,Synapse54
