OBJECTID,DESCRIPTION,ID,P5YHNIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,5521748128.66,5521748128.66,72760823790.5,3028971.212854449,1753801689447,Synapse54,1753801689447,Synapse54
2,"G0C (New Richmond, QC)",G0C,2296475116.67,2296475116.67,22075337398.492188,967680.4043130332,1753801689447,Synapse54,1753801689447,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,213670097.66,213670097.66,17330251329.5,625766.1683453334,1753801689447,Synapse54,1753801689447,Synapse54
4,"G0G (Fermont, QC)",G0G,956268360.37,956268360.37,488246740388.7383,13452850.295035336,1753801689447,Synapse54,1753801689447,Synapse54
5,"G0H (Pessamit, QC)",G0H,520544712.81,520544712.81,123893631441.5,3217405.6747955983,1753801689447,Synapse54,1753801689447,Synapse54
6,"G0J (Causapscal, QC)",G0J,1247021704.4,1247021704.4,30795263589.0,1187342.219615261,1753801689447,Synapse54,1753801689447,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,603791330.48,603791330.48,8964482448.5,530269.0600895187,1753801689447,Synapse54,1753801689447,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,2901910118.13,2901910118.13,23226305480.5,1017338.6635460304,1753801689447,Synapse54,1753801689447,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,1680349118.28,1680349118.28,6354665678.5,678703.1375911924,1753801689447,Synapse54,1753801689447,Synapse54
10,"G0N (Disraeli, QC)",G0N,968605898.74,968605898.74,3579667597.5,610336.508657239,1753801689447,Synapse54,1753801689447,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,313558154.57,313558154.57,1964344449.0,415202.1877963802,1753801689447,Synapse54,1753801689447,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,4187850742.25,4187850742.25,17275130739.5,769075.2097201231,1753801689447,Synapse54,1753801689447,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,3965857995.13,3965857995.13,7546000235.5,718279.0049398947,1753801689447,Synapse54,1753801689447,Synapse54
14,"G0T (Forestville, QC)",G0T,643518389.73,643518389.73,20313438075.0,1270528.890385615,1753801689447,Synapse54,1753801689447,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,1080966180.3,1080966180.3,24624561090.5,1237538.7672922572,1753801689447,Synapse54,1753801689447,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,1787651745.13,1787651745.13,380327320475.0,4323366.579971259,1753801689447,Synapse54,1753801689447,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,3005796531.45,3005796531.45,39978887685.5,2171889.905015521,1753801689447,Synapse54,1753801689447,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,473316650.17,473316650.17,3810924397.5,557635.8571484805,1753801689447,Synapse54,1753801689447,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,430718765.02,430718765.02,1313913827.0,254093.22841298912,1753801689447,Synapse54,1753801689447,Synapse54
20,"G1A (Quebec, QC)",G1A,0.0,0.0,82312.0,1266.954133788689,1753801689447,Synapse54,1753801689447,Synapse54
21,"G1B (Quebec, QC)",G1B,1110075163.5,1110075163.5,87273797.0,41431.67400838665,1753801689447,Synapse54,1753801689447,Synapse54
22,"G1C (Quebec, QC)",G1C,2197174968.77,2197174968.77,42832173.5,38990.399766328665,1753801689447,Synapse54,1753801689447,Synapse54
23,"G1E (Quebec, QC)",G1E,1535257607.96,1535257607.96,21963715.5,24460.60804483201,1753801689447,Synapse54,1753801689447,Synapse54
24,"G1G (Quebec, QC)",G1G,1546383469.34,1546383469.34,23261499.5,21244.010790424363,1753801689447,Synapse54,1753801689447,Synapse54
