OBJECTID,DESCRIPTION,ID,P5YHNIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
241,"H7X (Laval, QC)",H7X,140713.01,140713.01,31137712.0,25106.867662548826,1753801593706,Synapse54,1753801593706,Synapse54
242,"H7Y (Laval, QC)",H7Y,171182.39,171182.39,14444971.0,18869.75173232823,1753801593706,Synapse54,1753801593706,Synapse54
243,"H8N (Lasalle, QC)",H8N,87552.99,87552.99,14389471.0,18103.010513945057,1753801593706,Synapse54,1753801593706,Synapse54
244,"H8P (Lasalle, QC)",H8P,87973.41,87973.41,21862717.5,20668.285538772176,1753801593706,Synapse54,1753801593706,Synapse54
245,"H8R (Lasalle, QC)",H8R,82049.96,82049.96,18116586.5,27293.21202861797,1753801593706,Synapse54,1753801593706,Synapse54
246,"H8S (Lasalle, QC)",H8S,84353.91,84353.91,19856874.0,24144.754425147134,1753801593706,Synapse54,1753801593706,Synapse54
247,"H8T (Pointe-Claire-Dorval, QC)",H8T,106846.14,106846.14,21610415.0,20729.17122189251,1753801593706,Synapse54,1753801593706,Synapse54
248,"H8Y (Roxboro, QC)",H8Y,104104.25,104104.25,14039619.0,22252.616674527148,1753801593706,Synapse54,1753801593706,Synapse54
249,"H8Z (Roxboro, QC)",H8Z,110225.12,110225.12,11082242.5,14451.759662340886,1753801593706,Synapse54,1753801593706,Synapse54
250,"H9A (Pierrefonds, QC)",H9A,139698.78,139698.78,9353959.0,13155.163982221264,1753801593706,Synapse54,1753801593706,Synapse54
251,"H9B (Roxboro, QC)",H9B,119788.42,119788.42,14796114.0,18421.91025899604,1753801593706,Synapse54,1753801593706,Synapse54
252,"H9C (Pierrefonds, QC)",H9C,169031.0,169031.0,24503744.5,20531.792890304176,1753801593706,Synapse54,1753801593706,Synapse54
253,"H9E (Pierrefonds, QC)",H9E,140733.51,140733.51,42250333.0,27083.5790617143,1753801593706,Synapse54,1753801593706,Synapse54
254,"H9G (Pointe-Claire-Dorval, QC)",H9G,133323.46,133323.46,8457140.5,12464.539249179079,1753801593706,Synapse54,1753801593706,Synapse54
255,"H9H (Pierrefonds, QC)",H9H,122051.04,122051.04,19613903.5,23879.67204388559,1753801593706,Synapse54,1753801593706,Synapse54
256,"H9J (Pierrefonds, QC)",H9J,147344.46,147344.46,17167469.0,23970.816444803262,1753801593706,Synapse54,1753801593706,Synapse54
257,"H9K (Pierrefonds, QC)",H9K,143493.06,143493.06,30500131.5,26824.382930325875,1753801593706,Synapse54,1753801593706,Synapse54
