OBJECTID,DESCRIPTION,ID,HSTE001,HSTE001_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
288,"J1J (Sherbrooke, QC)",J1J,754200179.19,96928.44,96928.44,14850239.5,21529.415696903085,1753809572619,Synapse54,1753809572619,Synapse54
289,"J1K (Sherbrooke, QC)",J1K,299046298.52,80280.89,80280.89,14646372.0,20632.820225363073,1753809572619,Synapse54,1753809572619,Synapse54
290,"J1L (Sherbrooke, QC)",J1L,658826970.34,80482.16,80482.16,27073074.0,24825.97616578884,1753809572619,Synapse54,1753809572619,Synapse54
291,"J1M (Sherbrooke, QC)",J1M,249113115.85,89032.56,89032.56,66319442.5,51850.27975629163,1753809572619,Synapse54,1753809572619,Synapse54
292,"J1N (Sherbrooke, QC)",J1N,1711509305.61,111513.51,111513.51,196798113.5,75865.43435097949,1753809572619,Synapse54,1753809572619,Synapse54
293,"J1R (Sherbrooke, QC)",J1R,560057005.47,119542.58,119542.58,129969730.0,55500.89678544112,1753809572619,Synapse54,1753809572619,Synapse54
294,"J1S (Windsor, QC)",J1S,303608141.96,86596.73,86596.73,306725365.5,94080.75320925176,1753809572619,Synapse54,1753809572619,Synapse54
295,"J1T (Val-Des-Sources, QC)",J1T,274332822.3,66585.64,66585.64,94108625.0,49846.76465177346,1753809572619,Synapse54,1753809572619,Synapse54
296,"J1X (Magog, QC)",J1X,1686203101.43,98504.68,98504.68,728921445.0,201253.21200864858,1753809572619,Synapse54,1753809572619,Synapse54
297,"J1Z (Saint-Cyrille-De-Wendover, QC)",J1Z,238667341.24,104039.82,104039.82,352999380.0,123836.95765720992,1753809572619,Synapse54,1753809572619,Synapse54
298,"J2A (Drummondville, QC)",J2A,542198334.19,102070.47,102070.47,210419353.0,83920.96306970775,1753809572619,Synapse54,1753809572619,Synapse54
299,"J2B (Drummondville, QC)",J2B,1378753617.53,83232.94,83232.94,262759591.40234375,162201.91283563137,1753809572619,Synapse54,1753809572619,Synapse54
300,"J2C (Drummondville, QC)",J2C,1258263859.21,83119.56,83119.56,46328225.59765625,41604.1853996451,1753809572619,Synapse54,1753809572619,Synapse54
301,"J2E (Drummondville, QC)",J2E,185995892.97,87941.32,87941.32,18350789.5,28926.839340474853,1753809572619,Synapse54,1753809572619,Synapse54
302,"J2G (Granby, QC)",J2G,1029367209.24,69963.11,69963.11,27125065.5,40964.248286282396,1753809572619,Synapse54,1753809572619,Synapse54
303,"J2H (Granby, QC)",J2H,1149527327.5,116833.76,116833.76,136788271.0,82651.78876586944,1753809572619,Synapse54,1753809572619,Synapse54
